ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
21,It,IceTroll,冰巨魔,冰巨魔,冰巨魔,冰巨魔,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
22,Wo,Worgen,狼人,狼人,狼人,狼人,吉尔尼斯人,,吉尔尼斯人,,某种诅咒将吉尔尼斯的人类变成了野蛮的狼人，这些狼人则利用自己的野性来帮助盟友。,狼人,,狼人,,6291526,2203,170,15007,1096,623712,313254,651555,0,47273,0,47268,47239,47268,0,1,0,21,0,-5.35,2.1,-0.5,0.2,0,0,0,0,0,0,7,7,0,9,1,4,0,0,-1,0,-1,0,-1,0,-1,0,23
23,Hu,Human,吉尔尼斯人,吉尔尼斯人,吉尔尼斯人,吉尔尼斯人,,,,,狼人是由大法师阿鲁高最先释放到东部王国的。,,,,,237,1,0,15007,1096,623712,313254,651555,0,0,0,47268,47268,47268,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
24,Pa,Pandaren,熊猫人,熊猫人,熊猫人,熊猫人,熊猫人,,熊猫人,,熊猫人崇尚心灵的升华和对学识的探究，还热爱烹饪、酿酒和冒险。,熊猫人,,熊猫人,,6543380,2395,259,15007,1096,623716,574549,651561,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,42,7,2,0,0,10,0,0,-1,0,-1,0,-1,0,-1,0,0
25,Pa,Pandaren,熊猫人,熊猫人,熊猫人,熊猫人,土水派熊猫人,,土水派熊猫人,,熊猫人崇尚心灵的升华和对学识的探究，还热爱烹饪、酿酒和冒险。,熊猫人,,熊猫人,,211460,2401,259,15007,1096,623712,574549,651555,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,7,7,0,26,0,10,24,24,0,24,1,24,0,24,1,0,0
26,Pa,Pandaren,熊猫人,熊猫人,熊猫人,熊猫人,火金派熊猫人,,火金派熊猫人,,熊猫人崇尚心灵的升华和对学识的探究，还热爱烹饪、酿酒和冒险。,熊猫人,,熊猫人,,211460,2402,259,15007,1096,623714,574549,651558,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,7,1,25,0,10,24,24,0,24,1,24,0,24,1,0,0
27,Nb,Nightborne,夜之子,夜之子,夜之子,夜之子,夏多雷,,夏多雷,,夜之子一万年一直在苏拉玛离群索居，在此期间他们发展出了无与伦比的奥术技艺。,精灵,,精灵,,11010052,1610,0,15007,1096,623714,1662240,651558,0,0,0,0,0,0,12413,10,1,26,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,29,0,8,0,4,0,4,1,4,0,4,1,0,0
28,Ht,HighmountainTauren,至高岭牛头人,至高岭牛头人,牛头人,牛头人,牛头人,,牛头人,,至高岭牛头人尊敬大地、河流和天空之灵，他们是高贵和力量的化身。,牛头人,,牛头人,,8912902,6,0,15007,1096,623714,1662239,651558,0,0,0,0,0,0,12415,10,2,27,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,30,0,3,0,6,0,6,1,6,0,6,1,0,0
29,Ve,VoidElf,虚空精灵,虚空精灵,虚空精灵,虚空精灵,朗多雷,,朗多雷,,虚空精灵被同族所流放，他们的身体又被禁忌魔法所改变，如今，他们为联盟而战。,精灵,,精灵,,9961484,4,0,15007,1096,623712,1662242,651555,0,0,0,0,0,0,12291,10,1,28,0,0,0,0,0,0,0,0,0,0,0,7,7,0,27,0,8,0,10,0,10,1,10,0,10,1,0,0
30,Ld,LightforgedDraenei,光铸德莱尼,光铸德莱尼,德莱尼,德莱尼,光铸者,,光铸者,,光铸德莱尼的身体里灌注了圣光之力，他们是对抗邪恶的武器。,德莱尼,,德莱尼,,8912910,1629,0,15007,1096,623712,1662241,651555,0,0,0,0,0,0,12414,10,2,29,0,0,0,0,0,0,0,0,0,0,0,7,7,0,28,0,2,0,11,0,11,1,11,0,11,1,0,0
31,Za,ZandalariTroll,赞达拉巨魔,赞达拉巨魔,赞达拉巨魔,赞达拉巨魔,赞达拉巨魔,,赞达拉巨魔,,赞达拉巨魔崇拜神秘的洛阿神灵，号令着艾泽拉斯一流的舰队，令人闻风丧胆。,巨魔,,巨魔,,15204358,116,0,15007,1096,623714,2743642,651558,0,0,0,0,0,0,13503,10,4,30,0,0,0,0,0,0,0.08,0,0,0.08,0,1,7,1,32,0,7,0,0,-1,8,1,0,-1,8,1,8,0
32,Kt,KulTiran,库尔提拉斯人,库尔提拉斯人,库尔提拉斯人,库尔提拉斯人,库尔提拉斯人,,库尔提拉斯人,,多年的孤立政策后，骄傲的库尔提拉斯人再度让自己的海军加入了联盟。,人类,,人类,,15204364,1,0,15007,1096,623712,2575493,651555,0,0,0,0,0,0,13504,10,4,31,0,0,0,0,0,0,0,0,0,0,0,7,7,0,31,0,1,0,0,-1,0,-1,0,-1,0,-1,1,0
33,Th,ThinHuman,人类,人类,人类,人类,,,,,库尔提拉斯是由一群渴望冒险，探索神秘海域的航海者建立的。,,,,,525,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
34,Di,DarkIronDwarf,黑铁矮人,黑铁矮人,矮人,矮人,黑铁矮人,,黑铁矮人,,黑铁矮人以其火爆的脾气和倔强的决心闻名，他们与矮人表亲们并肩作战。,矮人,,矮人,,8912908,3,0,15007,1090,623712,2005930,651555,0,0,0,0,0,0,13076,10,3,11,0,0,0,0,0,0,0,0,0,0,0,7,7,0,36,0,1,0,3,0,3,1,3,0,3,1,3,0
35,Vu,Vulpera,狐人,狐人,狐人,狐人,狐人,,狐人,,足智多谋的狐人即使在最严酷的环境下也能发展壮大。,狐人,,狐人,,15204358,2204,0,15007,1096,623714,3188841,651558,0,0,0,0,0,0,14002,10,10,12,0,0,0,0,0,0,0.082,0,0,0.085,0,1,7,1,37,0,4,0,0,-1,0,-1,0,-1,0,-1,9,0
36,Mo,MagharOrc,玛格汉兽人,玛格汉兽人,兽人,兽人,玛格汉兽人,,玛格汉兽人,,德拉诺星球未被腐化的兽人氏族抛弃了过去的争端，团结一心，组成了勇猛的玛格汉氏族。,兽人,,兽人,,8912908,2,0,15007,1096,623714,2005932,651558,0,0,0,0,0,0,13077,10,3,13,0,0,0,0,0,0,0.085,0,0,0.07,0,1,7,1,34,0,1,0,2,0,2,1,2,0,2,1,2,0
37,Mg,Mechagnome,机械侏儒,机械侏儒,机械侏儒,机械侏儒,机械侏儒,,机械侏儒,,机敏的机械侏儒追求着肉体与技术的和谐统一，他们是一支热衷于发明创造的盟友。,侏儒,,侏儒,,15204364,115,0,15007,1096,623712,3188839,651555,0,0,0,0,0,0,14014,10,0,14,896,0,0,0,0,0,0,0,0,0,0,7,7,0,35,0,1,0,7,0,7,1,7,0,7,1,0,0
52,Dt,Dracthyr,龙希尔,,龙希尔,,龙希尔,,龙希尔,,龙希尔身体里灌注了巨龙军团的魔法，拥有着凡人的智谋和巨龙的威能。,龙裔,,龙裔,,167772164,1,0,15007,1096,623712,4620425,651555,0,0,0,155552,155552,155552,0,10,0,16,0,-1.7,1.9,-0.15,0,0,2.085,0,0,2.085,0,7,7,0,70,75,13,0,0,-1,0,-1,0,-1,0,-1,0,0
70,Dt,Dracthyr,龙希尔,,龙希尔,,龙希尔,,龙希尔,,龙希尔身体里灌注了巨龙军团的魔法，拥有着凡人的智谋和巨龙的威能。,龙裔,,龙裔,,167772164,2,0,15007,1096,623714,4620425,651558,0,0,0,155552,155552,155552,0,10,0,15,0,-1.3,2.1,-0.01,0,0,2.085,0,0,2.085,0,1,7,1,52,76,13,0,0,-1,0,-1,0,-1,0,-1,0,0
71,Cd,CompanionDrake,高地幼龙,,高地幼龙,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,13,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
72,Cp,CompanionProtoDragon,复苏始祖幼龙,,复苏始祖幼龙,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,11,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
73,Cs,CompanionSerpent,盘曲蜿变幼龙,,盘曲蜿变幼龙,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,15,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
74,Cw,CompanionWyvern,崖际荒狂幼龙,,崖际荒狂幼龙,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,14,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
75,Dt,Dracthyr,幻容,,幻容,,幻容,,幻容,,一群神秘的人，喜欢操纵蜡烛。,幻容,,幻容,,103,1,0,15007,1096,623712,131948,651555,0,0,0,155553,155553,155553,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,7,7,0,0,0,0,0,10,0,1,1,10,0,1,1,0,23
76,Dt,Dracthyr,幻容,,幻容,,幻容,,幻容,,一群神秘的人，喜欢操纵蜡烛。,幻容,,幻容,,103,1,0,15007,1096,623714,132003,651558,0,0,0,155553,155553,155553,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,1,7,1,0,0,0,0,10,0,1,1,10,0,1,1,0,23
77,Ct,CompanionPterrodax,载风迅疾幼龙,,载风迅疾幼龙,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,12,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
80,Cn,CompanionNetherwingDrake,岩洞灵翼幼龙,,岩洞灵翼幼龙,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,16,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
82,Sg,RostrumStormGryphon,阿加驭雷者,,阿加驭雷者,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,17,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
83,Fd,RostrumFaerieDragon,繁盛奇想幼龙,,繁盛奇想幼龙,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,18,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
84,Ed,EarthenDwarf,土灵,土灵,土灵,土灵,土灵,,土灵,,新生的土灵已经不再被律令所约束，他们怀着无尽的好奇心探索着这个世界，并加入了部落。,土灵,,土灵,,8912908,2,0,15007,1090,623714,5797525,651558,0,0,0,0,0,0,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,1,7,1,85,0,1,0,3,0,3,1,3,0,3,1,3,0
85,Ed,EarthenDwarf,土灵,土灵,土灵,土灵,土灵,,土灵,,新生的土灵已经不再被律令所约束，他们怀着无尽的好奇心探索着这个世界，并加入了联盟。,土灵,,土灵,,8912908,3,0,15007,1090,623712,5797525,651555,0,0,0,0,0,0,0,10,3,18,0,0,0,0,0,0,0,0,0,0,0,7,7,0,84,0,1,0,84,0,84,1,84,0,84,1,3,0
86,Hr,Harronir,哈籁尼尔,哈籁尼尔,哈籁尼尔,哈籁尼尔,哈籁尼尔,,哈籁尼尔,,,哈籁尼尔,,哈籁尼尔,,517,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
87,As,RostrumAirship,地下堡行者的飞船,,地下堡行者的飞船,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,19,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
90,As,RostrumAirship,地下堡行者的地精疾行器,,地下堡行者的地精疾行器,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,20,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
