Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
CPT,%s*,%s 战网点数,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:18|h|cff71d5ff交易条款|r|h和|HurlIndex:19|h|cff71d5ff隐私政策|r|h并确认购买。,14,15,32,848
TPT,NT$%s,NT$%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:10|h|cff71d5ff交易条款|r|h和|HurlIndex:20|h|cff71d5ff隐私政策|r|h并确认购买。,15,16,36,840
XTS,%s XTS,%s XTS,,16,963,2,960
XHG,,,,17,17,7,0
XXX,,,,18,999,7,0
XSG,,,,19,19,7,0
XPG,,,,20,20,7,0
XTU,,,,21,21,2,0
XTE,,,,22,22,2,0
XTK,,,,23,23,2,0
XTW,,,,24,24,2,0
XTC,,,,25,25,2,0
XDC,,,,26,26,7,0
XTX,,,,27,28,2,0
JPY,日元 %s,日元 %s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,28,392,4,833
CAD,加元 %s,加元 %s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,29,124,0,833
NZD,新西兰元 %s,新西兰元 %s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,30,554,0,833
GEL,格鲁吉亚拉里 %s,格鲁吉亚拉里 %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,31,981,16,836
TRY,土耳其里拉 %s,土耳其里拉 %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,32,949,16,2020
KZT,哈萨克斯坦坚戈 %s,哈萨克斯坦坚戈 %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,33,398,16,836
UAH,乌克兰格里夫纳 %s,乌克兰格里夫纳 %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,34,980,16,836
HKD,港币%s,港币%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:10|h|cff71d5ff交易条款|r|h和|HurlIndex:20|h|cff71d5ff隐私政策|r|h并确认购买。,35,344,16,840
AED,AED %s,AED %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,38,784,16,836
BGN,%s лв,%s лв,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,39,975,16,836
CHF,Fr. %s,Fr. %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,40,756,16,836
CZK,CZK %s,CZK %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,41,203,16,836
DKK,kr. %s,kr. %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,42,208,16,836
ILS,ILS %s,ILS %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,43,376,16,836
NOK,%s kr,%s kr,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,44,578,16,836
PLN,%s zł,%s zł,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,45,985,16,836
QAR,QAR %s,QAR %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,46,634,16,836
RSD,%s din,%s din,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,47,941,16,836
SAR,SAR %s,SAR %s,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,48,682,16,836
SEK,%s kr,%s kr,点击“立即支付”按钮即表示你已同意|HurlIndex:16|h|cff71d5ff交易条款|r|h并立即递送订单。一旦递送流程开始，你将不能够再撤销订单。,49,752,16,836
CRC,CRC %s,CRC %s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,50,188,16,833
IDR,Rp%s,Rp%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,51,360,16,833
INR,INR %s,INR %s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,52,356,16,833
MYR,RM%s,RM%s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,53,458,16,833
THB,THB %s,THB %s,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,54,764,16,833
UYU,$U%s,$U%s ,用户确认：点击下方“立即购买”按钮即表示本人已阅读并同意|HurlIndex:14|h|cff71d5ff交易条款|r|h和|HurlIndex:15|h|cff71d5ff隐私政策|r|h并确认购买。,55,858,16,833
