Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:幻象营救|r|n营救被蜃鱼人绑架的阿拉索人。,27,122400,53
|cnWHITE_FONT_COLOR:NYI|r|n,28,122401,53
|cnWHITE_FONT_COLOR:拉恩的尝试|r|n拉恩·道卡瓦利正在寻求帮手，帮助他夺回被蜃鱼人偷取的圣物。,29,122402,53
|cnWHITE_FONT_COLOR:潜伏恐魔|r|n蜃鱼人正企图控制来自深渊的某种东西。,30,122403,53
|cnWHITE_FONT_COLOR:地精闹剧|r|n调查塔克-雷桑深渊出现的地精。,31,122404,54
|cnWHITE_FONT_COLOR:鼹鼠人打盹|r|n有几个鼹鼠人被蜃鱼人绑架了！,32,122406,54
|cnWHITE_FONT_COLOR:信息素狂乱|r|n蜃鱼人偷取了好几箱信息素，旨在伏击纺丝者的盟友。,33,122407,54
|cnWHITE_FONT_COLOR:NYI|r|n,34,122408,54
|cnWHITE_FONT_COLOR:被绑架的土灵|r|n蛛魔绑架了芙原村的矿工！,35,122341,56
|cnWHITE_FONT_COLOR:珍贵矿石|r|n帮助被削弱的土灵，让他们重振精神，向蛛魔发起反击。,36,122372,56
|cnWHITE_FONT_COLOR:炽燃之地|r|n协助一位受困的燃灯者，化解蛛魔的威胁。,37,122373,56
|cnWHITE_FONT_COLOR:寻宝行动|r|n一名黑铁矮人不惜一切代价，决心要找到宝藏。,38,122374,56
|cnWHITE_FONT_COLOR:丢失的宝石|r|n蛛魔偷取了一大批记忆宝石！,39,122409,63
|cnWHITE_FONT_COLOR:粉碎斯卡丁|r|n蛛魔要正利用斯卡丁来绑架机语者！,40,122410,63
|cnWHITE_FONT_COLOR:狗头人绑票|r|n一对友好的狗头人需要帮助，去解救他们被蛛魔绑架的朋友。,41,122411,63
|cnWHITE_FONT_COLOR:NYI|r|n,42,122412,63
|cnWHITE_FONT_COLOR:昔日仪式|r|n燃灯者需要帮助，去阻止一场在禁忌神庙内的蛛魔仪式。,43,122413,64
|cnWHITE_FONT_COLOR:雷尼拉什的召唤|r|n玄夜会入侵了飞掠裂口，并相信这是召唤雷尼拉什的关键。,44,122414,64
|cnWHITE_FONT_COLOR:NYI|r|n,45,122415,64
|cnWHITE_FONT_COLOR:暗影领域|r|n飞掠裂口出奇得安静，只有一个奇怪的传送门在其中盘旋。,46,122416,64
|cnWHITE_FONT_COLOR:被折磨的人质|r|n来自艾泽拉斯的所有俘虏都会被送到螺旋织纹，受尽折磨。,47,122417,57
|cnWHITE_FONT_COLOR:纺丝者爱的问候|r|n纺丝者计划扰乱螺旋织纹内的行动。,48,122418,57
|cnWHITE_FONT_COLOR:奇异扰动|r|n螺旋织纹内的蛛魔似乎举止异常。,49,122419,57
|cnWHITE_FONT_COLOR:NYI|r|n,50,122420,57
|cnWHITE_FONT_COLOR:泽克维尔之力|r|n泽克维尔，先驱之手已经在这里筑就了邪恶的老巢。只有最强者能够挑战他的力量。,52,34450,61
|cnWHITE_FONT_COLOR:失踪的挖掘工|r|n在这片区域中挖掘的地精失去了音讯。,53,129109,65
|cnWHITE_FONT_COLOR:黑血谋利|r|n一个地精打算靠本地区的黑血大赚一笔。,54,129110,65
|cnWHITE_FONT_COLOR:喧闹的裂隙|r|n九号挖掘场各处都出现了诡异的裂隙。,55,129111,65
|cnWHITE_FONT_COLOR:金子总会发光|r|n暗索偷走了市民的黄金，并用其活化了一个元素！,60,130367,66
|cnWHITE_FONT_COLOR:地下堡行者先生|r|n几个地精机械师在闸板陋巷中不见了踪影。,61,130368,66
|cnWHITE_FONT_COLOR:传送器暴脾气|r|n暗索正在使用试验性传送器来巩固他们在本地区的运作。,62,130369,66
|cnWHITE_FONT_COLOR:迷宫原型|r|n探索绵延不绝的洞窟，里面满是蛛魔、真菌人，还有连圣光都说不清的秘密。,63,34450,67
|cnWHITE_FONT_COLOR:|r|n幽坑太保是破拆穹顶的霸主，每场一票难求的比赛都会以他踏平对手而收场。,64,34450,68
|cnWHITE_FONT_COLOR:腐化的蜡烛|r|n暗索地精正在洗劫克莱格瓦之眠。帮助狗头人恢复秩序。,65,133756,51
|cnWHITE_FONT_COLOR:一路火花带闪电|r|n侏儒正在这里开展钻探行动，突如其来的暗索地精便开始惹是生非。,67,133769,50
|cnWHITE_FONT_COLOR:虫与肉虫|r|n协助扑杀小队解决重大感染问题。,68,133773,56
|cnWHITE_FONT_COLOR:敲打解千愁|r|n地精修复了许多老毛病……又惹出一堆新漏洞！,69,133774,52
|cnWHITE_FONT_COLOR:扰乱暗索|r|n暗索地精正在安营扎寨。阻止他们的计划！,70,133778,63
|cnWHITE_FONT_COLOR:上古之神的遗物|r|n加里维克斯的走狗正在摆弄上古之神的遗物。解决他们，不能让形势恶化！,71,133782,64
|cnWHITE_FONT_COLOR:有债必讨|r|n帮助妮姆茜和玄夜会算清旧账。,73,133783,59
|cnWHITE_FONT_COLOR:孤儿的假日|r|n帮助阿丽扎·博布雷兹继续向蜃鱼人发起凶狠的复仇。,75,133786,53
|cnWHITE_FONT_COLOR:第三方经营|r|n帮助郭雅夫人，不要让加里维克斯染指珍贵的黑血。,76,133788,60
|cnWHITE_FONT_COLOR:紧急停工|r|n协助帕姆希和她的班底，破坏加里维克斯的泵送作业。,77,133792,54
|cnWHITE_FONT_COLOR:裁撤精简|r|n凭借蛛魔的火力击毁地精机甲。,78,133850,57
|cnWHITE_FONT_COLOR:遗物回收|r|n协助夺回虚灵从碧蓝档案馆中盗走的神器,79,136927,69
|cnWHITE_FONT_COLOR:蒙影之翼|r|n营救被虚灵入侵者灌注虚空之力的蓝色幼龙,80,136928,69
|cnWHITE_FONT_COLOR:穷追猛打|r|n利用虚灵的设施，以其人之道还治其人之身。,81,136929,69
|cnWHITE_FONT_COLOR:美食大灾难|r|n一名地精大厨灵光乍现，决定发掘这一区域中尚未开发的资源。,82,137352,65
|cnWHITE_FONT_COLOR:放归鳄鱼|r|n将安德麦的下水道鳄鱼放生到自然栖息地中，协助保护这一种群。,83,137516,66
|cnWHITE_FONT_COLOR:骑士的使命|r|n狗头人骑士将凶恶的野兽逼入了绝境，但还需要帮手来追查它的巢穴。,84,137714,65
|cnWHITE_FONT_COLOR:炸药爆翻天|r|n“安全地”处置堆存在下水道中的不稳定炸药。,85,138372,66
|cnWHITE_FONT_COLOR:黑暗中的尖刀|r|n凯威扎邀请最值得挑战、最有勇无谋的目标登门做客。,86,34450,70
|cnWHITE_FONT_COLOR:入侵的光芒|r|n在光绽过度生长并蔓延整个学院之前，将其清除！,87,144950,71
|cnWHITE_FONT_COLOR:学院围城|r|n在虚空入侵扩散到学院之外前，将其终结！,88,144951,71
|cnWHITE_FONT_COLOR:恐惧教职工|r|n揭露伪装的教授，终结暮光之刃对学生们的影响。,89,144952,71
|cnWHITE_FONT_COLOR:坚守防线|r|n面对虚空的再度突袭，协助恢复太阳之井的防御。,92,144941,72
|cnWHITE_FONT_COLOR:奥术旅团进军|r|n部署哨兵对抗吞噬军团的虚空晶塔。,93,144942,72
|cnWHITE_FONT_COLOR:爆破突袭|r|n从内部使用强大的奥术炸药，摧毁吞噬军团在虚空中的集结点。,94,144943,72
|cnWHITE_FONT_COLOR:腐蚀碾压|r|n乌拉特克的软泥萨满祭司正在召唤软泥怪，并掀起毒液狂潮。阻止他们！,95,151764,72
|cnWHITE_FONT_COLOR:放归鳄鱼|r|n将安德麦的下水道鳄鱼放生到自然栖息地中，协助保护这一种群。,96,5793,72
|cnWHITE_FONT_COLOR:卑鄙的腐杆|r|n乔装打扮，化作臭名昭著的恶棍，与粉丝和斗士们叫板。,102,143768,74
|cnWHITE_FONT_COLOR:竞技场勇士|r|n在多轮战斗中披荆斩棘，向卫冕冠军发出挑战。,103,143769,74
|cnWHITE_FONT_COLOR:光绽入侵|r|n协助真菌人抵挡光绽的侵袭。,104,143770,74
|cnWHITE_FONT_COLOR:进入塔扎维什，帷纱集市！|r|n|n在帷纱集市中突破障碍，阻止索·莉亚对力量的图谋。,107,92044,75
|cnWHITE_FONT_COLOR:图腾毁灭|r|n摧毁邪枝巨魔用来在神殿囚禁埃基尔松的诅咒图腾。,108,144947,76
|cnWHITE_FONT_COLOR:打断仪式|r|n扰乱邪枝巨魔的献祭仪式，拯救灵爪幼崽。,109,144948,76
|cnWHITE_FONT_COLOR:“蛙”全不同|r|n击败邪枝巨魔，破除将阿曼尼巨魔囚禁在青蛙形态中的妖术。,110,144949,76
|cnWHITE_FONT_COLOR:烈毒蒸汽|r|n清除阿塔阿曼的剧毒云雾。,111,158705,76
|cnWHITE_FONT_COLOR:放归鳄鱼|r|n将安德麦的下水道鳄鱼放生到自然栖息地中，协助保护这一种群。,112,5793,76
|cnWHITE_FONT_COLOR:派对搅局者|r|n阻止暮光之刃与虚空接触。,113,144935,77
|cnWHITE_FONT_COLOR:团团受困！|r|n营救墓穴内被遗忘的人质。,114,144936,77
|cnWHITE_FONT_COLOR:不羁的神灵|r|n将狂暴的神灵从邪枝巨魔的束缚中解放出来。,115,144937,77
|cnWHITE_FONT_COLOR:为什么偏偏是蛇？|r|n帮助哈里森·琼斯在这些蛇患成灾的地穴中寻找失落的遗物。,116,151156,77
|cnWHITE_FONT_COLOR:放归鳄鱼|r|n将安德麦的下水道鳄鱼放生到自然栖息地中，协助保护这一种群。,117,5793,77
|cnWHITE_FONT_COLOR:界门奇谋|r|n重建魔馆的界门网络，从内部瓦解虚灵的部队！,118,138779,69
|cnWHITE_FONT_COLOR:问题核心|r|n收集必要的充能核心，打破多曼纳尔对圣殿的控制。,124,144944,79
|cnWHITE_FONT_COLOR:引力效应|r|n利用微型奇点的引力来获得对抗多曼纳尔的优势。,125,144945,79
|cnWHITE_FONT_COLOR:出乎意料|r|n解决德雷米乌斯·暮行的光绽实验所引发的混乱。,126,144946,79
|cnWHITE_FONT_COLOR:传送器暴脾气|r|n暗索正在使用试验性传送器来巩固他们在本地区的运作。,127,5793,79
|cnWHITE_FONT_COLOR:放归鳄鱼|r|n将安德麦的下水道鳄鱼放生到自然栖息地中，协助保护这一种群。,128,5793,79
|cnWHITE_FONT_COLOR:统治与绝望|r|n努雷乌斯在里面等待着挑战他统治地位的勇士或愚人。,134,34450,81
|cnWHITE_FONT_COLOR:失窃的法力|r|n为了供给机器，影卫正在敌友不分地吸取法力。,135,144524,73
|cnWHITE_FONT_COLOR:落网的野生动物|r|n让虚影风暴的生物对影卫倒戈相向，瓦解他们的行动。,136,144526,73
|cnWHITE_FONT_COLOR:灾难性试验成果|r|n干扰影卫极不稳定的虚空试验。,137,144528,73
|cnWHITE_FONT_COLOR:叛徒的下场|r|n干扰暮光之刃的阴险仪式，将安忒诺里安绳之以法。,139,144779,78
|cnWHITE_FONT_COLOR:哈籁尼尔的探底|r|n重走哈籁尼尔的旅程，追随艾泽拉斯之歌，前往哈籁恩达尔。,140,144783,80
|cnWHITE_FONT_COLOR:重压下的聚焦器|r|n暮光之刃渗透进了苏拉玛地下的通道，正在干扰里面的魔网。,141,144938,83
|cnWHITE_FONT_COLOR:魔网技师|r|n梳理那些在苏拉玛地底奔涌不息的无形奥术洪流。,142,144939,83
|cnWHITE_FONT_COLOR:食人魔之力|r|n暮光之刃释放了一股他们无法掌控的力量。如今，失控的奥术能量正在苏拉玛的地道中肆虐。,143,144940,83
|cnWHITE_FONT_COLOR:艾林飞蛾的点心|r|n将新鲜的光绽疯长喂给饥饿的艾林飞蛾，以遏制它们那无节制的生长。,149,144931,80
|cnWHITE_FONT_COLOR:魔孢龙特餐|r|n巨型魔孢龙正在深沟各处散播爆炸性的光绽孢子，必须阻止它们。,150,144932,80
|cnWHITE_FONT_COLOR:暗影补给|r|n赶在暮光之刃重新武装、恢复力量之前，必须“解放”他们那些收集的补给。,151,144933,78
|cnWHITE_FONT_COLOR:镜面闪光|r|n加比·闪维克斯有个计划：利用反射的日光，驱逐盘踞在此地的暗影。,152,144934,78
|cnWHITE_FONT_COLOR:真菌秘药|r|n肃清地洞中的乌拉特克之嗣，并净化它们留下的毒液。,153,151355,74
|cnWHITE_FONT_COLOR:学术解毒剂|r|n收集解毒剂，拯救涂毒居民！,154,152313,71
|cnWHITE_FONT_COLOR:潜入与疗愈|r|n挫败召唤乌拉特克本尊的阴谋。,155,152588,78
|cnWHITE_FONT_COLOR:腐化之路|r|n破信者格尔洛克只看到了一条前行之路：用虚空腐化万物，让混乱主宰一切。,156,34450,85
|cnWHITE_FONT_COLOR:海中奇袭|r|n塞伦维加认为这段动荡时期正是她的人民崛起的良机。利用她昔日盟友的力量，她或许能够成功。,157,34450,86
|cnWHITE_FONT_COLOR:旧物与残片|r|n纳拉丁掠夺者掳走了许多行动迟缓、没能及时逃脱的始祖龟长者。请协助营救他们，并找回那些在纳拉丁的“悉心照料”下幸免于难的物资。,162,154191,88
|cnWHITE_FONT_COLOR:明奇的白骨大冒险|r|n成堆被啃光的白骨或许会让大多数人望而却步，但对于明奇和他的帽子来说，这可是不容错过的学习机会！,163,154190,88
|cnWHITE_FONT_COLOR:说他们的语言|r|n帮助始祖龟给纳拉丁传递一个他们“绝对能懂”的信号。,164,154189,88
|cnWHITE_FONT_COLOR:名字|r|n描述,165,5793,88
|cnWHITE_FONT_COLOR:开放之夜|r|n在竞技场中与各路新秀和冠军一决高下，追寻属于你的荣耀。,166,154202,89
|cnWHITE_FONT_COLOR:比赛日|r|n骨球——这项曾为竞技场带来无上荣耀、最受欢迎也最暴力的运动正在如火如荼地进行！,167,154201,89
|cnWHITE_FONT_COLOR:领养大会|r|n可爱的动物幼崽需要围捕，而竞争对手需要被粉碎——这是你见过的最可爱的有组织谋杀盛宴。,168,154200,89
|cnWHITE_FONT_COLOR:名字|r|n描述,169,5793,89
|cnWHITE_FONT_COLOR:毒液之心|r|n作为一名强大的毒液祭司，阿兹塔雷克正在他的巢穴中施法，让毒液淹没整座群岛。,170,34450,90
"|cnWHITE_FONT_COLOR:瓦尔|r|n叛变的虚空势力盘踞于一颗偏远的冰封星球，并在那里筑起了一座黑暗的力量堡垒。|r|n
深入风暴肆虐的瓦尔荒原，彻底粉碎他们险恶的阴谋吧。",173,34450,93
"|cnWHITE_FONT_COLOR:奈格塔尔|r|n哈尔哈达尔虚灵在一颗真菌丛生的神秘星球上，建起了一座法力熔炉基地。
|r|n深入奈格塔尔中富含法力的沼泽，彻底终结他们阴险的行动吧。",174,34450,94
在阿塔乌特克的波涛之下，隐藏着被变幻潮汐所掩盖的水下洞穴——潮缚石窟。,177,49081,97
|cnWHITE_FONT_COLOR:蛇怪闪击|r|n在超载的蛇形巨怪逃离前将其消灭。,179,158765,73
|cnWHITE_FONT_COLOR:蛇卵激长|r|n乌拉特克之嗣已经攻破了魔法回廊，并开始在通道中筑巢。在它们孵化成新一波怪物之前，摧毁它们的卵！,199,160623,83
