Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
JPY,日圓%s,日圓%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,28,392,4,833
CAD,CAD %s,CAD %s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,29,124,0,833
NZD,NZD %s,NZD %s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,30,554,0,833
GEL,喬治亞拉里%s,喬治亞拉里%s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,31,981,16,836
TRY,土耳其里拉%s,土耳其里拉%s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,32,949,16,2020
KZT,哈薩克坦吉%s,哈薩克坦吉%s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,33,398,16,836
UAH,烏克蘭赫夫納%s,烏克蘭赫夫納%s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,34,980,16,836
HKD,HK$%s,HK$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:10|h|cff71d5ff銷售協議|r|h與|HurlIndex:20|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,35,344,16,840
AED,AED %s,AED %s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,38,784,16,836
BGN,%s лв,%s лв,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,39,975,16,836
CHF,Fr. %s,Fr. %s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,40,756,16,836
CZK,CZK %s,CZK %s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,41,203,16,836
DKK,kr. %s,kr. %s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,42,208,16,836
ILS,ILS %s,ILS %s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,43,376,16,836
NOK,%s kr,%s kr,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,44,578,16,836
PLN,%s zł,%s zł,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,45,985,16,836
QAR,QAR %s,QAR %s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,46,634,16,836
RSD,%s din,%s din,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,47,941,16,836
SAR,SAR %s,SAR %s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,48,682,16,836
SEK,%s kr,%s kr,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,49,752,16,836
CRC,CRC %s,CRC %s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,50,188,16,833
IDR,Rp%s,Rp%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,51,360,16,833
INR,INR %s,INR %s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,52,356,16,833
MYR,RM%s,RM%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,53,458,16,833
THB,THB %s,THB %s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,54,764,16,833
UYU,$U%s,$U%s ,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,55,858,16,833
