ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
75,巴拉丁堡,在第二次獸人戰爭之後，位於托巴拉德一座離島上的巴拉丁堡廢墟就成為囚禁艾澤拉斯上某些最危險人物的監獄。然而大浩劫破壞了監獄。如今，當部落和聯盟爭奪這座島的主權之際，被遺忘的恐怖或許就要得到解放。,757,522333,522349,464826,526401,2,0,0
76,祖爾格拉布,祖爾格拉布曾是古拉巴什叢林食人妖的首都，這支部族一度掌控了巨大的南部叢林。就是在這裡，『妖術師』金度將兇殘的奪魂者哈卡召喚進艾澤拉斯。最近，一個由渴望建立食人妖統一帝國的古拉巴什和贊達拉食人妖所結成的聯盟重新開始了這項行動。,859,522348,522364,136369,526416,0,0,0
77,祖阿曼,渴望復仇的回音依舊在阿曼尼部族的舊日首都祖阿曼中繚繞不絕。儘管阿曼尼部族響應了他們戰帥的呼喚，祖爾金恢復帝國往日光榮的計畫卻失敗了。然而，贊達拉將會完成他所無法成功的工作。如果不加注意，這支團結起來的部族將會收復他們的土地，實踐他們冷酷無情的報復。,568,522347,522363,136367,526415,0,3508,0
78,火源之界,火源之界是泰坦們打造來給拉格納羅斯及其兇橫爪牙居住的熔岩國度。死亡之翼在艾澤拉斯現身後，拉格納羅斯和他的僕人也隨之湧向海加爾山的坡地。其後，海加爾聖山的英勇守衛者們擊退了他們。如今拉格納羅斯正集結他的忠心追隨者，抵禦艾澤拉斯勇士們對火源之界的進攻行動。,720,522337,522353,529270,526405,0,0,0
184,終焉之刻,在無限可能的未來之中，這一條時間之道顯示出的是沒有阻止死亡之翼，整個艾澤拉斯淒慘的未來。諾茲多姆發現了此時此刻有一種強大但奇怪的異象阻止他們回到過去 - 讓他們無法取得惡魔之魂。這種獨自生存在時空之外的強大生物，在過去扭曲的迴聲之中出沒。,938,571739,571754,575262,571758,1,0,0
185,永恆之井,一萬年以前，夜精靈的首都辛艾薩拉是個雄偉、光輝的大城市。坐落於永恆之井的湖岸邊，也是貴族精靈 當初第一次開啟傳送門招來扭曲虛空中的燃燒軍團入侵艾澤拉斯的地方。受了夜精靈女王艾薩拉之命，他們現在將能量注入傳送門中，為迎接恐怖又可怕的魔神薩格拉斯到來的那天。,939,571741,571756,575266,571760,0,0,0
186,暮光之時,有了從過去取得的巨龍之魂，艾澤拉斯的英雄現在有萬全的準備可以去對付死亡之翼了。位於北裂境冰凍荒原內的龍眠神殿，此高聳的巨塔正在受到死亡之翼暮光軍隊的襲擊。為了要拯救艾澤拉斯，索爾必須安全的帶著巨龍之魂抵達神殿。,940,571740,571755,575264,571759,0,0,0
187,巨龍之魂,巨龍之魂是死亡之翼在先祖之戰期間鑄造而成，集結了所有守護巨龍的能量，直到它最終被摧毀為止。穿過時光之穴，索爾與剩下的巨龍軍團終於在這強大的巨龍之魂神器被摧毀之前找到它了。現在他們再度聚集於龍眠神殿，只能孤注一擲，把希望寄託於巨龍之魂的強大能量，透過它來對付死亡之翼。,967,571738,571753,575261,571757,0,0,0
226,怒焰裂谷,怒焰裂谷延伸在奧格瑪的地底深處。野蠻的穴居怪與奸險的灼刃信徒們曾一度盤據在這火山洞窟內，但現在有一個新的威脅浮現了：黑暗薩滿。雖然大酋長卡爾洛斯‧地獄吼最近號召了一些薩滿來運用元素為武器對抗聯盟，但目前裂谷內的居民似乎是一群叛徒。已經有報告指出這些難以捉摸的人們正在聚集一支強大的軍隊，足以對奧格瑪造成極嚴重的破壞。,389,608172,608211,136350,608250,0,0,0
227,黑澗深淵,黑澗深淵曾經是奉獻給夜精靈女神伊露恩的聖地，人們都以為它在大崩裂中被摧毀、消失在海洋之下。數千年後，暮光之錘的教徒被傳聞與邪惡的夢想吸引來到了這個神殿。在獻祭了難以計數的無辜生命後，這些教徒被賦予了一項新任務：保護上古之神最珍愛的生物之一，一隻在能對世界展現黑暗力量之前仍需要受到照顧與培育的上古之神寵物。,48,608156,608195,136325,608234,0,0,0
228,黑石深淵,熾熱的黑石深淵是黑鐵矮人與其大帝達格蘭‧索瑞森的居住地。就像他的前任者一樣，他是『炎魔』拉格納羅斯鐵腕統治之下的奴僕。殘酷的拉格納羅斯是在幾世紀以前被召喚到這個世界來，混沌元素的出現吸引暮光之錘邪教徒到來。他們和拉格納羅斯的僕從一起將矮人們推向了毀滅之途，不久之後整個艾澤拉斯可能也難逃此劫。,230,608157,608196,136326,608235,0,0,0
229,黑石塔下層,這是座被建構在黑石山熾烈的核心中，幾世紀以來代表著黑石部族力量的莊嚴堡壘。在最近，黑龍奈法利安和他的爪牙奪下了堡壘的上層尖塔，並和矮人點燃了戰火。龍族軍隊從那時起就與大酋長雷德‧黑手的虛假部落結成了同盟。這股勢力雄踞著尖塔，進行著恐怖的實驗以強化他們的軍力，並謀劃著要消滅愛管閒事的黑鐵矮人們。,229,608158,608197,136327,608236,0,0,0
230,厄運之槌 - 中心花園,這座在數千年前建造完成，被用來存放卡多雷秘法奧秘的偉大埃德薩拉斯城市如今只剩下一堆廢墟，其中充滿著扭曲變形的力量。曾經為了爭奪控制厄運之槌腐化力量的集團之間現在訂下了不安定的休戰協議，不再想繼續戰鬥奪下整個厄運之槌，而只想能好好利用自己領地內的力量。,429,608161,608200,136333,608239,1,0,0
231,諾姆瑞根,諾姆瑞根這座建築在丹莫洛山脈深處的奇妙城市，是地精智慧與工業結晶的最好證明。但在首都被穴居怪入侵時，地精大工匠被他的顧問希科‧瑟瑪普拉格所背叛。結果造成諾姆瑞根被輻射線污染，大部分的居民被殺死。存活下來的地精們逃了出來，並誓言有一天要回來將他們的家園奪回來。,90,608163,608202,136336,608241,0,0,0
232,瑪拉頓,根據傳說，塞納留斯之子札爾塔與土元素瑟萊德絲公主生下了野蠻的半人馬族。在半人馬誕生不久之後，那些殘忍的生物謀殺了自己的父親。據說哀傷不堪的瑟萊德絲將她愛人的靈魂困在瑪拉頓之內，使整個區域受到腐化。如今，兇惡的半人馬鬼魂與扭曲的元素爪牙遍布這錯綜複雜洞穴的每一個角落。,349,608170,608209,136345,608248,0,0,0
233,剃刀高地,傳說中半神阿迦瑪甘死去的地方長滿荊棘藤蔓。最近的偵察報告指出，有不死生物在該地出沒。這令人害怕，或許恐怖的天譴軍團即將襲捲整個卡林多。,129,608173,608212,136352,608251,0,0,0
234,剃刀沼澤,傳說中半神阿迦瑪甘死去的地方長滿荊棘藤蔓。許多野豬人定居在遍地荊棘的剃刀之地，並將此地視為阿迦瑪甘的安息之地。,47,608174,608213,136353,608252,0,0,0
236,斯坦索姆 - 主門,斯坦索姆曾經是北部羅德隆的一枚珠寶，但今天人們只記得它悲慘的壞滅過程。阿薩斯王子就是在此地背棄崇高的聖騎士烏瑟‧光明使者，並屠殺了無數被認為染有不死瘟疫的居民。從那時開始，被詛咒的斯坦索姆就被死亡、背叛與絕望所玷污。,329,608177,608216,136359,608255,1,0,0
237,阿塔哈卡神廟,數千年以前，古拉巴什帝國因為一群被稱為阿塔萊的強大祭司而陷入一場內戰，他們想將血神哈卡奪魂者的化身召喚到艾澤拉斯。古拉巴什的人們將阿塔萊流放到悲傷沼澤，而他們在那裡建造了阿塔哈卡神廟。綠龍軍團的守護巨龍伊瑟拉將神廟沉入了沼澤之中，並指派了看守者確保永遠不會有人再度進行召喚的儀式。,109,608178,608217,136360,608256,0,0,0
238,監獄,暴風城監獄是個建造在暴風城運河下，被緊密看守著的監牢。典獄官塞爾沃特負責監督監獄與其中極度危險的囚犯們。就在最近囚犯們展開了暴動，打倒了守衛並使監牢陷入如地獄般的狀態。,34,608184,608223,136358,608262,0,0,0
239,奧達曼,奧達曼是個被埋在地下深處的古老泰坦寶庫。據說泰坦將一個失敗的實驗封存在那裡後，就轉而進行另一個和矮人創生有關的新計畫。隱藏有偉大知識寶藏的故事誘使許多尋寶者進入奧達曼挖掘，但這座失落城市中的石頭守衛、野蠻的穴巨怪、黑鐵入侵者與其他潛伏的危險讓這項工作格外危險。,70,608186,608225,136363,608264,0,0,0
240,哀嚎洞穴,數年前，知名的德魯伊納拉雷克斯與他的跟隨者們進入了幽暗的哀嚎洞穴。這個洞穴的名字源自於蒸氣穿過洞穴中裂隙時所發出，類似悲傷哀嚎的聲音。納拉雷克斯原本計畫利用地下的泉水使不毛的貧瘠之地恢復生氣，但就在他進入翡翠夢境時，他的夢想轉變成一場夢魘，從那時開始就一直困擾著哀嚎洞穴。,43,608190,608229,136364,608313,0,0,0
241,祖爾法拉克,祖爾法拉克曾經是塔納利斯閃亮的珍寶，它被狡詐的沙怒部族所嚴守著。儘管食人妖擁有無比韌性，許久以來這群與世隔絕的人們仍被迫放棄其許多領地。如今祖爾法拉克的居民似乎正在創造一支恐怖得不死食人妖大軍，準備要征服附近地區。除此之外還有一個令人不安的傳言指出，在城市中沉睡著一個古老的生物，一但讓他甦醒，會為整個塔納利斯帶來無數死亡與破壞。,209,608191,608230,136368,608267,1,0,0
246,通靈學院,所有尋求專精不死力量的人都熟知通靈學院，這是位於凱爾達隆底下黑暗地穴的一個惡名遠播的死靈法術學校。近年來有數名講師的變動，但這個學校仍在黑暗院長加丁的掌控之下。他是一個特別殘酷成性且陰險的死靈法師。,1007,608176,608215,136355,608254,1,0,0
247,奧奇奈地穴,起初被流放到德拉諾的德萊尼認為死亡是生命一種令人不安且不幸的結束，所以他們將過世之人藏在奧齊頓這個地下墓穴城市之中。這座令人驚奇的迷宮就位於泰洛卡森林的地下。,558,608154,608193,136323,608232,0,0,0
248,地獄火壁壘,地獄火堡壘就聳立在外域荒原地獄火半島的中心，它是一個幾乎無法被攻下的堡壘，也是部落在第一次與第二次大戰中的指揮中心。,543,608168,608207,136338,608246,0,0,0
249,博學者殿堂,凱爾薩斯‧逐日者在風暴要塞被擊敗後，公開地揭露他與殘酷的燃燒軍團結成同盟。為了召喚惡魔領主基爾加丹，凱爾薩斯回到了奎爾達納斯之島進行迎接他主人到來的最後準備。,585,608169,608208,136344,608247,1,0,0
250,法力墓地,起初被流放到德拉諾的德萊尼認為死亡是生命一種令人不安且不幸的結束，所以他們將過世之人藏在奧齊頓這個地下墓穴城市之中。這座令人驚奇的迷宮就位於泰洛卡森林的地下。,557,608154,608193,136323,608232,1,0,0
251,希爾斯布萊德丘陵舊址,在時光之穴的深處，沉思的巨龍諾茲多姆甦醒了。由於世界還很年輕，青銅龍軍團看守著這個蜿蜒的迷宮，並監視著不斷變換的時間之道以確保精微的時間平衡能維持下去。,560,608159,608198,136330,608237,0,0,0
252,塞司克大廳,起初被流放到德拉諾的德萊尼認為死亡是生命一種令人不安且不幸的結束，所以他們將過世之人藏在奧齊頓這個地下墓穴城市之中。這座令人驚奇的迷宮就位於泰洛卡森林的地下。,556,608154,608193,136323,608232,0,0,0
253,暗影迷宮,起初被流放到德拉諾的德萊尼認為死亡是生命一種令人不安且不幸的結束，所以他們將過世之人藏在奧齊頓這個地下墓穴城市之中。這座令人驚奇的迷宮就位於泰洛卡森林的地下。,555,608154,608193,136323,608232,0,0,0
254,亞克崔茲,巨大的風暴要塞是由迷樣的那魯所建造，他們是有知覺的純粹能量生物，也是燃燒軍團的死敵。除了作為那魯的指揮中心之外，此建築本身擁有能夠傳送穿過其他次元，在眨眼間從一個地方移動到另一個地方的科技。,552,608179,608218,136362,608257,0,0,0
255,黑色沼澤,在時光之穴的深處，沉思的巨龍諾茲多姆甦醒了。由於世界還很年輕，青銅龍軍團看守著這個蜿蜒的迷宮，並監視著不斷變換的時間之道以確保精微的時間平衡能維持下去。,269,608159,608198,136330,608237,0,0,0
256,血熔爐,地獄火堡壘就聳立在外域荒原地獄火半島的中心，它是一個幾乎無法被攻下的堡壘，也是部落在第一次與第二次大戰中的指揮中心。,542,608168,608207,136338,608246,1,0,0
257,波塔尼卡,巨大的風暴要塞是由迷樣的那魯所建造，他們是有知覺的純粹能量生物，也是燃燒軍團的死敵。除了作為那魯的指揮中心之外，此建築本身擁有能夠傳送穿過其他次元，在眨眼間從一個地方移動到另一個地方的科技。,553,608179,608218,136362,608257,1,0,0
258,麥克納爾,巨大的風暴要塞是由迷樣的那魯所建造，他們是有知覺的純粹能量生物，也是燃燒軍團的死敵。除了作為那魯的指揮中心之外，此建築本身擁有能夠傳送穿過其他次元，在眨眼間從一個地方移動到另一個地方的科技。,554,608179,608218,136362,608257,0,0,0
259,破碎大廳,地獄火堡壘就聳立在外域荒原地獄火半島的中心，它是一個幾乎無法被攻下的堡壘，也是部落在第一次與第二次大戰中的指揮中心。,540,608168,608207,136338,608246,1,0,0
260,奴隸監獄,盤牙蓄湖是一個潛藏在贊格沼澤最深層水底的一個納迦設施。這個蓄湖被許多開放的巨大管子與活塞所貫穿，似乎大到足夠容納軍隊，但它的用途可不僅僅侷限於軍事而已。,547,608160,608199,136331,608238,0,0,0
261,蒸汽洞窟,盤牙蓄湖是一個潛藏在贊格沼澤最深層水底的一個納迦設施。這個蓄湖被許多開放的巨大管子與活塞所貫穿，似乎大到足夠容納軍隊，但它的用途可不僅僅侷限於軍事而已。,545,608160,608199,136331,608238,0,0,0
262,深幽泥沼,盤牙蓄湖是一個潛藏在贊格沼澤最深層水底的一個納迦設施。這個蓄湖被許多開放的巨大管子與活塞所貫穿，似乎大到足夠容納軍隊，但它的用途可不僅僅侷限於軍事而已。,546,608160,608199,136331,608238,1,0,0
271,安卡罕特：古王國,當巫妖王來到北裂境時，阿茲歐-奈幽還是個強大的帝國。但儘管他們猛烈的抵抗，天譴軍的部隊仍成功地擊潰了這個地下王國並屠殺了奈幽族居民。現在這個廣大的領域被長年的戰爭與動亂所重創，而且還被兩個不同的邪惡勢力給佔領了。,619,608153,608192,237592,608231,0,0,0
272,阿茲歐-奈幽,當巫妖王來到北裂境時，阿茲歐-奈幽還是個強大的帝國。但儘管他們猛烈的抵抗，天譴軍的部隊仍成功地擊潰了這個地下王國並屠殺了奈幽族居民。現在這個廣大的領域被長年的戰爭與動亂所重創，而且還被兩個不同的邪惡勢力給佔領了。,601,608155,608194,237593,608233,1,0,0
273,德拉克薩隆要塞,德拉克薩隆要塞曾經是德拉克瑞食人妖王國祖爾德拉克邊境一個堅固的前哨基地，但天譴軍團最近一次的入侵使這個堡壘落入了巫妖王之手。要塞中死亡的防衛者如今成為巫妖王的不死爪牙，並開始入侵德拉克瑞領土的核心。,600,608162,608201,237595,608240,0,0,0
274,剛德拉克,因為絕望地想要挽救走向滅亡的帝國，祖爾德拉克的食人妖背叛了他們古老的眾神。這些狂野的神祗如今被視為未開發的力量泉源，祂們強力的血液能被用來擊退已經成功佔領部份食人妖國土的巫妖王爪牙。英雄們在最近來到了這個被圍困的地區，並開始攻擊野蠻的德拉克瑞與其瘋狂的先知們。,604,608164,608203,237596,608242,1,0,0
275,雷光大廳,在離開艾澤拉斯時，泰坦們委任忠心的保衛者們保護奧杜亞，一個座落在風暴群山中的迷樣城市。被指派領導其同胞們的守護者洛肯卻因為大權在握，而墮入黑暗並使這個地區陷入混亂之中。,602,608165,608204,237598,608243,1,0,0
276,倒影大廳,多年以來，艾澤拉斯各種族的勇士們對抗巫妖王的下場多半是被殘酷地殺害，然後被迫在他恐怖的不死軍隊中效勞。在為了阻止巫妖王的持續努力之下，銀白十字軍的提里奧‧弗丁與黯刃騎士團的達瑞安‧莫格萊尼為了進攻冰冠城塞而組成了稱為灰燼裁決軍的聯合軍隊。,668,608166,608205,336389,608244,0,0,0
277,石之大廳,在離開艾澤拉斯時，泰坦們委任忠心的保衛者們保護奧杜亞，一個座落在風暴群山中的迷樣城市。被指派領導其同胞們的守護者洛肯卻因為大權在握，而墮入黑暗並使這個地區陷入混亂之中。,599,608167,608206,237599,608245,0,0,0
278,薩倫之淵,多年以來，艾澤拉斯各種族的勇士們對抗巫妖王的下場多半是被殘酷地殺害，然後被迫在他恐怖的不死軍隊中效勞。在為了阻止巫妖王的持續努力之下，銀白十字軍的提里奧‧弗丁與黯刃騎士團的達瑞安‧莫格萊尼為了進攻冰冠城塞而組成了稱為灰燼裁決軍的聯合軍隊。,658,608171,608210,336391,608249,0,0,0
279,斯坦索姆的抉擇,在時光之穴的深處，沉思的巨龍諾茲多姆甦醒了。由於世界還很年輕，青銅龍軍團看守著這個蜿蜒的迷宮，並監視著不斷變換的時間之道以確保精微的時間平衡能維持下去。,595,608180,608219,237601,608258,0,0,0
280,眾魂熔爐,多年以來，艾澤拉斯各種族的勇士們對抗巫妖王的下場多半是被殘酷地殺害，然後被迫在他恐怖的不死軍隊中效勞。在為了阻止巫妖王的持續努力之下，銀白十字軍的提里奧‧弗丁與黯刃騎士團的達瑞安‧莫格萊尼為了進攻冰冠城塞而組成了稱為灰燼裁決軍的聯合軍隊。,632,608181,608220,336392,608259,1,0,0
281,奧核之心,為了能夠重新完全支配魔法，藍龍的守護巨龍瑪里苟斯發動了一場戰役，打算切斷凡人們與流通在艾澤拉斯的魔法之間的連結。為了達到這個目的，他的藍龍軍團正將世界的地脈能量重新導往瑪里苟斯那高聳的巢穴:奧核之心。,576,608182,608221,237602,608260,1,0,0
282,奧核之眼,為了能夠重新完全支配魔法，藍龍的守護巨龍瑪里苟斯發動了一場戰役，打算切斷凡人們與流通在艾澤拉斯的魔法之間的連結。為了達到這個目的，他的藍龍軍團正將世界的地脈能量重新導往瑪里茍斯那高聳的巢穴:奧核之心。,578,608183,608222,237603,608261,0,0,0
283,紫羅蘭堡,在達拉然許多裝飾華麗的尖塔與附魔過的街道中，有一種黑暗的存在在紫羅蘭堡巨大的城牆中騷動著。這座堡壘長久以來被用作囚禁對此城市造成威脅的無數致命生物，並被祈倫托勤勉地看管著。然而，一次突然的襲擊考驗著此堡壘的完善程度，使監牢外所有人的安危承受極大的風險。,608,608189,608228,237604,608312,0,0,0
284,勇士試煉,烏雲滿布寒冰皇冠的天空，而英雄們聚集在歷經征戰的旌旗號召之下，準備面對來襲的風暴。有人說就算是最黑暗的烏雲也能看到被陽光照亮的銀邊。就是這種希望驅使著銀白十字軍的男男女女:一個聖光會讓他們度過這充滿辛苦考驗時代的希望，一個良善能戰勝邪惡的希望，一個受到聖光祝福的英雄會崛起並推翻巫妖王黑暗霸權的希望。,650,608185,608224,311220,608263,0,0,0
285,俄特加德要塞,俄特加德要塞是凜風峽灣中央懸崖上的一個古代文明遺跡。長久以來人們都以為它被棄置了，但最近有某種東西喚醒了要塞中沉眠的居民:維酷人。,574,608187,608226,237605,608265,1,0,0
286,俄特加德之巔,俄特加德要塞是凜風峽灣中央懸崖上的一個失落文明遺跡。長久以來人們都以為它被棄置了，但最近有某種東西喚醒了要塞中沉眠的居民們，維酷人。,575,608188,608227,237606,608266,0,0,0
302,風暴烈酒酒坊,當老陳‧風暴烈酒抵達四風峽時，他來到了和他同名的著名酒坊，希望能和他的親戚們取得聯繫。但他只見到自己祖傳的家園混亂不堪。在無能的高叔叔看管下，惹人厭的兔妖和任性的猴人已經滲入了酒坊展開狂歡，不久之後該地區美味啤酒的供應將大受影響。,961,632268,632275,632362,632282,1,0,0
303,落陽關,許多世代以來，一道被稱為蟠龍脊的巨大城牆保護著潘達利亞的居民不會受到狂暴的螳螂人週期性攻擊的迫害。這個野蠻種族的進攻週期在最近出乎意料之外地提早開始了，讓城牆的守衛措手不及。隨著最強大的螳螂人戰士們衝向飽受戰火摧殘的城門，潘達利亞必須抵禦這支堪稱這片土地有史以來最具破壞力的軍隊。,962,632263,632270,632357,632277,1,0,0
311,血色大廳,在這黑暗的時代曾經為了防衛修道院而奮戰，血色十字軍中最威猛的戰士們，正在血色大廳內迅速地整備一支軍隊。這些士兵受到他們對不死生物的痛恨所制約，他們願意犧牲一切事物只為了達到十字軍正義的理想。,1001,643259,643262,643268,643265,0,0,0
312,影潘僧院,戰火已經蔓延到整個潘達利亞，而部落和聯盟間的毀滅性衝突也在雄偉的影潘僧院中引起動亂。在那裡，三大邪惡本體 - 暴力之煞、仇恨之煞與憤怒之煞從它們的監牢中逃脫了。雖然憤怒之煞完全逃離了隱蔽的僧院，剩下的煞卻開始對當地勇敢的影潘防衛者們造成嚴重傷亡。,959,632267,632274,632361,632281,1,0,0
313,玉蛟寺,玉蛟寺高聳地矗立在潘達利亞的東岸，它是數千年前傳奇熊貓人大帝紹昊對抗疑惑之煞取得勝利的神聖紀念碑。在最近，一場在翠玉林中災難性的衝突導致煞被釋放，其中幾個邪惡本體並侵擾寺中最珍貴的智慧與知識庫藏。,960,632269,632276,632363,632283,1,0,0
316,血色修道院,血色十字軍狂熱的領導者們在修道院中心的血色大教堂發號施令，帶領著他們的跟隨者們。這個被嚴密防守的地點是血色十字軍的總部，而一些最狂熱且偏執的十字軍成員都待在這個一度極為神聖的地方。,1004,608175,608214,136354,608253,0,0,0
317,魔古山寶庫,自奉為萬物之尊的魔古詳實記錄了他們的豐功偉業，並且把所有史料紀錄保存在一座巨大而複雜的寶庫。這座巨大寶庫的建成年代超前熊貓人所有的歷史記載，使其背景成為謎團。傳說裡頭曾埋伏著一支強大的軍隊：由於這個原因，寶庫成為古熊貓人起義時的頭號攻擊目標。待魔古被推翻之後，寶庫便被封鎖起來。,1008,632266,632273,632360,632280,0,0,0
320,豐泉台,隱藏在環繞恆春谷群山之間的豐泉台是此處的聖地。其內祥和的噴泉據說擁有治療與恢原的力量，但當恐懼之煞發動攻擊時，許多守護者受到恐懼的影響而開始互相攻擊。,996,643261,643264,643270,643267,0,0,0
321,魔古山宮,古老的魔古山宮是代表魔古力量的最後一個真正堡壘。魔古三支最大的部族最近聚集在這個令人驚嘆的地方與它們的大王『武器大師』辛會面。這個強大的統治者擬定了一個大膽的計畫，打算一統他四散的子民們，並重拾其帝國的榮耀。在潘達利亞四處動亂的情況下，辛高傲的征服夢想極有可能實現。,994,632265,632272,632359,632279,1,0,0
322,潘達利亞,自從一萬多年以前世界發生大爆炸以來，古老的國度潘達利亞就被籠罩在濃霧之中，而未受到戰火的摧殘。這裡繁茂的森林與雲霧繚繞的高山蘊育了一個融合本土物種與異域生物的複合性生態系。這裡也是迷樣熊貓人的家鄉，他們是一個就算在古老的威脅侵擾下，也能為生命而歡慶的種族。,996,652217,652218,1062579,652219,2,0,0
324,圍攻怒兆寺,怒兆寺延伸橫跨兩個強化過的島嶼，遠在一座被稱為蟠龍脊的巨大城牆之後。多年以來，強韌的熊貓人防衛者守護著連接兩個島嶼的狹窄橋樑，阻止任何可能的入侵者。但最近螳螂人打造了他們自己的橋樑--其實是一個巨大的樹根--並出乎意料之外地奪下了其中一座島嶼。如今這些兇殘的昆蟲人已經準備好要襲擊怒兆剩餘的守衛者。,1011,643260,643263,643269,643266,0,0,0
330,恐懼之心,恐懼之煞腐化了螳螂人的女皇。她逐漸惡化的乖僻與偏執命令迫使卡拉西--螳螂人文化的看守者們--採取積極的行動。因為卡拉西的成員數量很少，他們很不情願接受外來幫助摧毀女皇與淨化煞對其種族之負面影響。,1009,632264,632271,632358,632278,0,0,0
