TaskName_lang,Description_lang,ID,CriteriaTreeID,QuestID,ProgressContributionAmount,RepetitionContributionDampeningCurve,Supersedes,Field_12_0_0_63534_008
[DNT] Defeat Waxtail Kobolds,[DNT] Defeat 20 Waxtail Kobolds,28,210667,91023,50,87592,0,1
[DNT] Defeat Sparklit Kobolds,[DNT] Defeat 20 Sparklit Kobolds,29,210899,91023,50,87592,0,1
[DNT] Defeat Glumtooth Kobolds,[DNT] Defeat 20 Glumtooth Kobolds,30,210905,91023,50,87592,0,1
[DNT] Defeat Flickerflame Kobolds,[DNT] Defeat 20 Flickerflame Kobolds,31,210916,91023,50,87592,0,1
[DNT] Defeat Brightrock Kobolds,[DNT] Defeat 20 Brightrock Kobolds,32,210927,91023,50,87592,0,1
[DNT] Defeat Kobolds in The Ringing Deeps,[DNT] Defeat 100 Kobolds in The Ringing Deeps,33,210933,91023,50,87592,0,1
在鳴響深淵擊敗地底爬蛛,在鳴響深淵擊敗20隻地底爬蛛,34,210978,91024,10,87592,0,0
擊敗深岩剝石怪,在鳴響深淵擊敗20隻深岩剝石怪,35,210980,91024,10,87592,0,0
擊敗神秘嗜血者,擊敗20個神秘嗜血者,36,210988,91024,10,87592,0,0
在鳴響深淵通關一次地城,在鳴響深淵通關一次地城。其中包含暗焰裂縫、水閘行動和石庫。,37,210990,91022,25,87592,0,0
在鳴響深淵採集20個礦石,在鳴響深淵採集20個礦石,38,211019,91022,25,87592,0,0
在鳴響深淵採集20株草藥,在鳴響深淵採集20株草藥,39,211029,91022,25,87592,0,0
在鳴響深淵採集20張獸皮或皮革,在鳴響深淵採集20張獸皮或皮革,40,211045,91022,25,87592,0,0
擊殺猴人,在崑萊峰擊殺猴人。,41,216310,91022,25,87592,0,0
完成任務：崑萊峰,在崑萊峰完成任務。,42,216312,91023,50,87592,0,0
家園：拾取幸運星,在崑萊峰或社區拾取幸運星。,43,216314,91022,25,87592,0,0
在鳴響深淵捕到20條魚,在鳴響深淵捕到20條魚,47,211126,91022,25,87592,0,0
在鳴響深淵收集20份木材,在鳴響深淵收集20份木材,48,211139,91022,25,87592,0,0
在鳴響深淵完成一次探究,在鳴響深淵完成一次探究。,49,211141,91023,50,87592,0,0
在鳴響深淵完成5個世界任務,在鳴響深淵完成5個世界任務,50,211148,92099,75,87592,0,0
在社區點亮10盞燈籠,在社區點亮10盞燈籠,51,211150,91024,10,87592,0,0
[DNT] Collect 10 Globs of Dropped Wax,[DNT] Collect 10 Globs of Dropped Wax in the Neighborhood,52,211152,91024,10,87592,0,0
[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,53,211154,91024,10,87592,0,1
[DNT] Defeat 20 Gyreworms in Deepholm,[DNT] Defeat 20 Gyreworms in Deepholm,54,211156,91023,50,87592,0,1
[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,55,211161,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Ogres in Deepholm,[DNT] Defeat 20 Twilight Ogres in Deepholm,56,211169,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Cultists in Deepholm,[DNT] Defeat 20 Twilight Cultists in Deepholm,57,211174,91023,50,87592,0,1
[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,58,211187,91023,50,87592,0,1
[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,59,211202,91023,50,87592,0,1
[DNT] Defeat 20 Stone Drakes in Deepholm,[DNT] Defeat 20 Stone Drakes in Deepholm,60,211205,91023,50,87592,0,1
[DNT] Collect 20 Albino Cavefish in Deepholm,[DNT] Collect 20 Albino Cavefish in Deepholm,61,211209,91023,50,87592,0,1
[DNT] Collect 20 Lumber in Deepholm,[DNT] Collect 20 Lumber in Deepholm,62,211211,91024,10,87592,0,1
通關傳奇鑰石難度地城,,63,212060,91023,50,87592,0,1
擊殺團隊副本首領,,64,212062,91023,50,87592,0,1
獲得榮譽值,,65,212064,91023,50,87592,0,1
完成世界任務,,66,214555,91023,50,87592,0,1
完成至暗之夜戰役,完成至暗之夜戰役。,67,212076,91022,25,0,0,0
薩瑟里的晚會,在永歌森林參加薩瑟里的晚會，並完成「強化符石」任務。,68,212082,91022,25,0,0,0
薩瑟里的晚會愛好者,到永歌森林參加薩瑟里的晚會，並完成晚會參加者給予的每週任務。,69,212089,91022,25,0,0,0
銀月城宮廷 - 萬眾焦點,參加銀月城宮廷，並完成公開目標。,70,212091,91022,25,0,0,0
至暗之夜地城,通關至暗之夜地城。,71,212208,92099,75,87592,0,0
採集資源：至暗之夜,在至暗之夜地區採集草藥、礦石、獸皮或魚。,73,212222,91022,25,87592,0,0
深淵潛水者,在祖阿曼完成深淵釣手事件。,74,212255,92099,75,0,0,0
豐足生效,在至暗之夜區域中，透過事件取得豐足。,75,212257,91023,50,0,0,0
大量豐足,在至暗之夜區域中，透過事件取得豐足。,76,222818,91022,25,0,75,0
哈拉尼爾的傳說,在哈朗達完成「哈拉尼爾的傳說」事件。,77,212261,91023,50,0,0,0
殺死光綻生物,在任何相關出沒地擊殺威脅艾澤拉斯的光綻生物。,78,214538,91022,25,0,0,0
殺死光綻生物2,在任何相關出沒地擊殺威脅艾澤拉斯的光綻生物。,79,214541,91023,50,0,78,0
殺死光綻生物3,在任何相關出沒地擊殺威脅艾澤拉斯的光綻生物。,80,214544,92099,75,0,79,0
世界任務：永歌森林,在永歌森林完成世界任務。,81,212066,91023,50,87592,0,0
擊殺稀有敵人：永歌森林,在永歌森林擊殺稀有敵人或稀有精英。,82,214557,91023,50,87592,0,0
收集風瑪利昂核心,在虛無風暴收集風瑪利昂核心。,83,214559,91023,50,0,0,0
奇異點錨,在虛無風暴守護奇異點錨。,84,214561,91023,50,87592,0,0
潛在秘能,在永歌森林收集潛在秘能。,85,214680,91022,25,87592,0,0
擁護一個陣營大使,在禁忌之境擁護一個陣營大使。,86,214735,91024,10,0,0,0
每日任務：禁忌之境,在禁忌之境完成每日任務。,87,214884,91023,50,0,0,0
澤斯克拉密庫的門,在禁忌之境開啟澤斯克拉密庫的門。,88,214992,91022,25,87592,0,0
擊殺稀有敵人：禁忌之境,在禁忌之境擊殺稀有敵人。,89,215007,91023,50,87592,0,0
完成霜石密庫洪荒風暴,在禁忌之境完成霜石密庫洪荒風暴。,90,215020,91023,50,87592,0,0
採集資源：禁忌之境,在禁忌之境採集草藥、礦石、獸皮或魚。,91,215423,91022,25,87592,0,0
寵物對戰世界任務：禁忌之境,在禁忌之境完成寵物對戰世界任務。,92,215469,91022,25,87592,0,0
天空騎術競賽：禁忌之境,在禁忌之境完成天空騎術競賽。,93,215575,91024,10,87592,0,0
壓制戰爭育所,在禁忌之境完成「戰爭育所」世界任務。,94,215577,91023,50,87592,0,0
專業技能稀有敵人：禁忌之境,在禁忌之境擊殺透過專業技能物品召喚的稀有生物或稀有精英生物。,95,215666,91739,150,0,0,0
透過密封卷軸找到寶藏,在禁忌之境拾取透過密封卷軸揭露的寶藏。,96,215668,91022,25,87592,0,0
擊殺生物：禁忌之境,在禁忌之境擊殺生物。,97,215670,91022,25,87592,0,0
拾取禁忌之境寶箱,在禁忌之境拾取禁忌之境寶箱。,98,215672,91022,25,87592,0,0
採集資源：崑萊峰,在崑萊峰採集草藥、礦石、獸皮或魚。,100,216319,91023,50,87592,0,0
收集木材：崑萊峰,在崑萊峰收集木材。,101,216323,91023,50,87592,0,0
擊敗首領：崑萊峰,在崑萊峰地城和團隊副本通關首領遭遇戰。,102,216327,91022,25,87592,0,0
家園：吃下卡法柯沓莓,在柯沓峰或你的社區吃下卡法柯沓莓。,103,216329,91022,25,87592,0,0
榮譽擊殺：崑萊峰,在崑萊峰獲得榮譽擊殺。,104,216334,91023,50,87592,0,0
收集木材：禁忌之境,在禁忌之境收集木材。,105,216352,91023,50,87592,0,0
完成探究,,106,216354,91023,50,87592,0,1
家園：讓愛睏居民打起精神,在社區讓愛睏居民打起精神。,107,216664,91022,25,87592,0,0
家園：交易莓果,將卡法柯沓莓賣給社區的卡法商人。,108,216671,91022,25,87592,0,0
擊敗憤怒之煞,擊敗崑萊峰上的憤怒之煞。,109,216306,91022,25,87592,0,0
家園：完成每週社區任務,在社區為來訪的半龍人完成每週任務。,110,216872,91023,50,87592,0,0
家園：裝飾時間,在你的房屋或土地放置裝飾，讓銀月城訪客留下深刻印象。,111,216890,91023,50,0,0,0
家園：裝飾時間2,在你的房屋或土地放置裝飾，讓銀月城訪客留下深刻印象。,112,216892,91023,50,0,111,0
家園：裝飾時間3,在你的房屋或土地放置裝飾，讓銀月城訪客留下深刻印象。,113,216894,91023,50,0,112,0
家園：取得裝飾,為你的房屋或土地獲取新的裝飾，讓銀月城訪客留下深刻印象。,114,216898,91023,50,0,0,0
家園：運送幸運星,將幸運星運送到社區的攀爬訓練營地。,115,216957,91022,25,87592,0,0
家園：收集莓果,在社區攀爬訓練採集卡法柯沓莓。,116,216959,91024,10,87592,0,0
家園：騎乘卡法中毒的峰上居民,在社區騎乘卡法中毒的飛行者，耗盡牠的力氣。,117,216961,91024,10,87592,0,0
家園：受傷的藝術家,透過魔法、繃帶或鍊金術治療造訪社區的受傷的藝術家。,118,217031,91022,25,87592,0,0
擊殺稀有敵人：機械岡,在機械岡擊殺稀有敵人。,120,217061,91023,50,87592,0,0
每日任務：機械岡,在機械岡完成每日任務。,121,217063,91023,50,87592,0,0
機械岡國王,在機械岡行動擊敗機械岡國王。,122,217068,91023,50,0,0,0
HK-8型空中壓制單位,在機械岡行動擊敗HK-8型空中壓制單位。,123,217070,91023,50,0,0,0
完滿建造者,在機械岡完成建造計畫。,124,217072,91022,25,87592,0,0
和K1N6一塊進行工程製作,在機械岡和帕斯卡K1N6型一塊製作廢料場工程物品。,125,217074,91023,50,87592,0,0
收集木材：機械岡,在機械岡收集木材。,126,217076,91023,50,87592,0,0
採集資源：機械岡,在機械岡採集草藥、礦石、獸皮或魚。,127,217078,91022,25,87592,0,0
鏽蝕弒君者,在機械岡的另一條時間線中擊敗鏽蝕王子。,128,217082,91023,50,0,0,0
乾杯！,在機械岡的鏽栓鎮為反抗軍乾杯。,129,217084,91024,10,0,0,0
擊殺生物：機械岡,在機械岡擊殺生物。,130,217086,91022,25,87592,0,0
寵物對戰世界任務：機械岡,在機械岡完成寵物對戰世界任務。,131,217484,91022,25,87592,0,0
紅色三倍速,在機械岡變更賽威拉格全地形載具或機甲大貓的顏色。,132,217486,91023,50,0,0,0
廢料回收專案,在機械岡協助重建和守護廢料回收機。,133,217489,92099,75,87592,0,0
家園：當個好鄰居,在你的社區做幫助他人的好事。,134,214565,91023,50,87592,0,0
家園：返還迷路的機械母雞,在你的社區找到並返還校準失敗的母雞。,135,217689,92099,75,87592,0,0
家園：機械地精運輸工具,在你的社區測試機械地精的空氣噴射器。,136,217691,91023,50,87592,0,0
家園：海灘碎塊,在你的社區協助回收者收集金屬碎塊。,137,218132,92099,75,0,0,0
採集資源：外域,在外域採集草藥、礦石、獸皮或魚。,138,218431,91022,25,87592,0,0
擊敗操縱者帕薩里歐,在麥克納爾地城擊敗操縱者帕薩里歐。,139,218435,91023,50,0,0,0
擊敗扭曲分裂者,在波塔尼卡地城擊敗扭曲分裂者。,140,218437,91023,50,0,0,0
擊敗先驅者史蓋力司,在亞克崔茲地城擊敗先驅者史蓋力司。,141,218439,91023,50,0,0,0
以太皇族滅絕,在外域的戶外區域擊敗以太皇族成員及其盟友。,142,218548,91023,50,87592,0,0
收集木材：至暗之夜,在至暗之夜地區收集木材。,143,219644,91023,50,87592,0,0
殺死日怒,在虛空風暴擊敗日怒軍團的成員。,144,220010,91023,50,87592,0,0
絕不留情,在撒塔斯完成聯合團的懸賞任務。,145,220012,91023,50,87592,0,0
擊敗奈薩斯王子薩法爾,在法力墓地地城擊敗奈薩斯王子薩法爾。,146,220024,91023,50,0,0,0
擊敗約兒,在法力墓地地城擊敗約兒。,147,220026,91739,150,0,0,0
複習是學習之母,在外域完成聯合團的聲望交付任務。,148,220115,91022,25,87592,0,0
禦天者之刃,在劍刃山脈的貝許爾平臺保護禦天者進攻部隊。劍刃山脈的禦天者前哨每隔一個小時就會發動攻擊。,149,220183,91739,150,87592,0,0
快閃貝許爾,在劍刃山脈的貝許爾平臺擊敗貝許爾或他的其中一名副官。,150,220206,91022,25,87592,0,0
採集資源：扎拉萊克洞窟,在扎拉萊克洞窟採集草藥、礦石、獸皮或魚。,151,221088,91022,25,87592,0,0
世界任務：扎拉萊克洞窟,在扎拉萊克洞窟完成世界任務。,152,221096,91023,50,87592,0,0
遭攻擊的研究員,完成扎拉萊克洞窟的遭攻擊的研究員事件。,153,221098,91023,50,87592,0,0
擊敗沙卡瑞斯,在『朧影實驗場』亞貝魯斯擊敗沙卡瑞斯。,155,221104,91023,50,0,0,0
地底寵物對戰,在扎拉萊克洞窟以至少1隻元素寵物完成寵物對戰世界任務。,156,221164,91024,10,87592,0,0
聲望就是一切,在扎拉萊克洞窟獲得洛姆鼴鼠人聲望。,157,221174,91023,50,87592,0,0
嗅探尋寶,在扎拉萊克洞窟與邁里特探索洞穴時搜刮箱子。,158,221179,91023,50,87592,0,0
比從石頭中榨出血還難,與龐佐交換換來的挖掘地圖，然後在扎拉萊克洞窟使用。,159,221186,91023,50,0,0,0
穩紮穩打,在扎拉萊克洞窟的葛利姆羅格完成布莉古爾的一個每日任務。,160,221188,91022,25,87592,0,0
擊殺稀有敵人：扎拉萊克洞窟,在扎拉萊克洞窟擊殺稀有敵人或稀有精英。,161,221190,91023,50,87592,0,0
天空騎術：地底,在扎拉萊克洞窟完成天空騎術競速。,162,221192,91024,10,87592,0,0
臭硬幣，好獎勵,在扎拉萊克洞窟獲取出土的芬芳硬幣。,163,221268,91023,50,87592,0,0
家園：擺放薰香,在社區擺放薰香來吸引蜜蜂。,164,221576,91024,10,87592,0,0
家園：製作薰香,從社區收集原料，並帶到鼴鼠人移動式薰香缸來製作薰香。,165,221584,91024,10,87592,0,0
家園：協助嗅探者,在社區治癒鼴鼠人嗅探者的嗅盲症。,166,221684,91024,10,87592,0,0
家園：蝸牛快遞,協助城中大滑頭遞送社區的信件。與布莉古爾談話來開始。,167,221800,91023,50,87592,0,0
家園：傳授花粉,在社區城鎮中心周遭引導蜜蜂為花朵授粉。,168,221878,91024,10,87592,0,0
家園：秘法特技,在你的社區中進入離繫空間，並完成最後的助理建築師的指引。這個任務每日只能進行一次。,169,221930,92099,75,87592,0,0
家園：不是相位迷失，是相位協尋,在你的社區中進入離繫空間，並協助你的鄰居尋找和歸還當地人亂放的物品。,170,221932,91022,25,87592,0,0
家園：垂釣,在你的社區啟用離繫繫鏈或使用相位迷失捷徑。,171,222537,91022,25,0,0,0
家園：預備起飛,在你的社區連續測試機械地精的空氣噴射器三次，且不碰觸地面。,172,222540,92099,75,0,0,0
收集木材：外域,在外域地區收集木材。,173,222672,91023,50,87592,0,0
深淵潛水者,在祖阿曼完成深淵釣手事件。,174,212255,91024,10,0,0,0
完成任務,在雍亞拉平原完成任務。,175,223339,91023,90,87592,0,0
擊敗首領,在諾庫德進攻據點地城通關首領遭遇戰。,176,223341,91023,50,87592,0,0
採集資源,在雍亞拉平原採集草藥、礦石、獸皮或魚。,177,223343,91023,90,87592,0,0
收集木材,在雍亞拉平原收集木材。,178,223347,91024,10,87592,0,0
榮譽擊殺,在雍亞拉平原獲得榮譽擊殺。,179,223349,91023,90,87592,0,0
擊殺精英（諾庫德）,在雍亞拉平原的諾庫敦堡擊殺精英。,180,223351,91022,45,87592,0,0
擊敗史珠那朗,在雍亞拉平原擊敗史珠那朗。,181,223353,91022,45,87592,0,0
放下諾庫德巴卡犬,在雍亞拉平原或諾庫德進攻據點擊殺諾庫德鬥犬和。,182,223355,91022,45,87592,0,0
寵愛有名字的巴卡犬,在雍亞拉平原寵愛有獨特名字的巴卡犬。,183,223357,91022,45,87592,0,0
與巴卡犬夥伴狩獵,在大狩獵期間與巴卡犬夥伴一起擊敗敵人。,184,223378,91022,45,87592,0,0
家園：餵食友善的幼犬,在雍亞拉平原或你的社區朝友善的巴卡狗或幼犬投擲點心。,185,223427,91024,10,87592,0,0
家園：拯救流浪幼犬,當流浪幼犬的朋友，將牠帶到城鎮中心。,186,223669,91023,50,87592,0,0
家園：通關敏捷訓練場,引導幼犬通過城鎮中心的敏捷訓練場。,187,223680,91024,10,87592,0,0
家園：訓練你的幼犬,帶幼犬散步時，記得清理將牠的大便。,188,223685,91022,25,87592,0,0
家園：沖洗巴卡犬,在社區清洗站幫骯髒的巴卡犬洗澡。,189,223718,91024,10,87592,0,0
老虎測試鼴鼠人,老虎測試鼴鼠人,190,223750,0,10,0,0,0
家園：瘋狂淘寶,完成每日任務「瘋狂淘寶」。,192,224527,91022,25,87592,0,0
家園：永遠的家人,幫社區的認養幼犬找到永遠的家人。,193,224541,91022,25,87592,0,0
家園：詐騙格利夫塔,與格利夫塔交易社區小擺飾。,194,224629,91022,25,87592,0,0
家園：瘋羽狂亂,完成每日任務「可疑的嚇人鷗」。,195,224808,91022,25,87592,0,0
家園：跳蚤市場大師,完成每日任務「我的東西比你好」。,196,224810,91022,25,87592,0,0
世界任務：盤蛇島,在盤蛇島完成世界任務。,197,224988,91023,50,87592,0,0
詛咒狂湧天譴軍團,在盤蛇島擊敗詛咒狂湧首領。,198,224990,91023,50,87592,0,0
寶藏獵人：盤蛇島,在盤蛇島各地拾取寶箱。,199,224994,91024,10,87592,0,0
每日釣魚任務：盤蛇島,在盤蛇島完成每日釣魚任務。,200,224992,91023,50,87592,0,0
巢穴驚魂：世界,在世界或更高難度的盤蛇島中，擊敗妮莉莎‧喚浪者。,201,224996,91023,50,0,0,0
擊敗烏拉特克,在烏拉特克神殿擊敗烏拉特克。,202,225001,91739,150,0,0,0
探究潛水員：盤蛇島,在盤蛇島完成探究。,203,225003,92099,75,87592,0,1
巢穴驚魂：普通,在普通或更高難度的盤蛇島中，擊敗妮莉莎‧喚浪者。,204,225005,91023,50,0,0,0
巢穴驚魂：英雄,在英雄或更高難度的盤蛇島中，擊敗妮莉莎‧喚浪者。,205,225007,92099,75,0,0,0
巢穴驚魂：傳奇,在傳奇難度的盤蛇島中，擊敗妮莉莎‧喚浪者。,206,225009,92099,75,0,0,0
擊敗祖爾詹,在毒牙祭壇擊敗祖爾詹。,207,225011,91023,50,0,0,0
毒液大師,在盤蛇島擊敗嗜毒生物。,208,225013,91022,25,87592,0,0
敬牙遠之,在盤蛇島擊敗烏拉特克之子。,209,225034,91022,25,87592,0,0
腐蝕收藏家,在盤蛇島收集腐蝕錢幣。,210,225036,91022,25,87592,0,0
阿塔烏特克寶庫：敲擊管理者,在盤蛇島的阿塔烏特克寶庫完成事件。,211,225794,91023,50,87592,0,0
家園：帶幼犬散步,帶幼犬去散步，完成固定的運動量。,212,225480,91024,10,87592,0,0
家園：收集家常蠟,在你的社區中，找到並收集蠟塊，以便向狗頭人展示。,213,225497,92099,75,87592,0,0
家園：獻蠟,在你的社區中，貢獻家常蠟。,214,224927,92099,75,87592,0,0
家園，捐蠟,在你的社區中，將家常蠟捐贈給社群蠟箱。,215,225499,92099,75,87592,0,0
家園：蠟燭工坊,在你的社區中，參加製燭宗師史卡利主持的蠟燭工坊。需要先在蠟燭大鍋裝滿家常蠟，工坊才能開課。,216,225501,91739,150,87592,0,0
家園：藝術贊助人,在你的社區中，委託狗頭人藝術家製作蠟像。這個任務每日只能進行一次。,217,225503,91022,25,87592,0,0
採集資源：盤蛇島,在盤蛇島採集草藥、礦石、獸皮或魚。,218,225801,91022,25,87592,0,0
聽從希區‧蒙田的建議,在剛達加茲浴場待一段時間。,220,227370,92099,75,0,0,0
家園：留下來熠熠生輝,在你的社區中，與托爾托訪客一起享受陽光、水和沙灘。,221,229218,92099,75,87592,0,0
家園：秘密紀念品,在你的社區中，找到托爾托孩童藏起來的秘密紀念品。,222,229259,91023,50,108894,0,0
家園：海龜重返大海,在你的社區中，幫助托爾托旅行嚮導發放水下旅店的宣傳小冊子。這個任務可每天完成一次。,223,229262,91023,50,0,0,1
世界任務：托爾托人,在贊達拉或庫爾提拉斯完成獎勵托爾托聲望的世界任務。,224,229615,91023,50,87592,0,0
聲望就是一切,獲得托爾托追尋者聲望。,225,229617,91023,50,87592,0,0
深水酒吧自由式,拜訪艾澤拉斯的所有水下托爾托酒吧。,226,229620,91739,150,87592,0,0
家庭巡航,前往巨龍群島的甦醒海岸，參與迷失阿維洛相關活動。,227,229805,92099,75,87592,0,0
海灘祭,在星期日晚上的9點或11點，前往潘達利亞的喀撒朗蠻荒，參加遊子節。,228,229815,91739,150,0,0,0
探索選項,在烏拉特克神殿拯救托爾托探險者。,229,229880,91023,50,0,0,0
記得帶更精彩的故事回來,完成博學行者阿洲的故事漫遊任務。,230,229902,91023,50,0,0,0
採集資源：贊達拉或庫爾提拉斯,在贊達拉或庫爾提拉斯採集草藥、礦石、獸皮或魚。,231,229936,91022,25,87592,0,0
收集木材：贊達拉或庫爾提拉斯,在贊達拉或庫爾提拉斯收集木材。,232,229940,91023,50,87592,0,0
只要看到特別的東西，就帶來給我,在贊達拉或庫爾提拉斯的挖掘場取回發現的考古學文物。,233,229944,91022,25,87592,0,0
