ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,CreateScreenFileDataID,SelectScreenFileDataID,NeutralRaceID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,MaleModelFallbackRaceID,FemaleModelFallbackRaceID,MaleTextureFallbackRaceID,FemaleTextureFallbackRaceID,PlayableRaceBit,HelmetAnimScalingRaceID,TransmogrifyDisabledSlotMask,UnalteredVisualCustomizationRaceID,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],Field_10_0_0_44649_045,BaseLanguage,CreatureType,MaleModelFallbackSex,FemaleModelFallbackSex,MaleTextureFallbackSex,FemaleTextureFallbackSex
16,Vr,Vrykul,維酷人,維酷人,維酷人,維酷人,,,,,,,,,,9,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
17,Tu,Tuskarr,巨牙海民,巨牙海民,巨牙海民,巨牙海民,,,,,,,,,,262145,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
18,Ft,ForestTroll,森林食人妖,森林食人妖,森林食人妖,森林食人妖,,,,,,,,,,15,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
19,Wt,Taunka,坦卡族,坦卡族,坦卡族,坦卡族,,,,,,,,,,5,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
20,NS,NorthrendSkeleton,北裂境骷髏,北裂境骷髏,北裂境骷髏,北裂境骷髏,,,,,,,,,,5,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
21,It,IceTroll,寒冰食人妖,寒冰食人妖,寒冰食人妖,寒冰食人妖,,,,,,,,,,5,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
22,Wo,Worgen,狼人,狼人,狼人,狼人,吉爾尼斯,,吉爾尼斯,,吉爾尼斯的人類因為詛咒而化為兇殘的狼人，但他們克服了狂暴的心性，將它轉化為協助盟友的力量。,狼人,,狼人,,6291526,2203,170,15007,1096,0,9,1,4,623712,313254,0,651555,0,47273,0,47268,47239,47268,0,1,0,0,0,0,0,21,0,0,23,-5.35,2.1,-0.5,0.2,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
23,Hu,Human,吉爾尼斯,吉爾尼斯,吉爾尼斯,吉爾尼斯,,,,,The worgen were first unleashed upon the Eastern Kingdoms by Archmage Arugal. <PH>,,,,,237,1,0,15007,1096,0,0,0,0,623712,313254,0,651555,0,0,0,47268,47268,47268,0,1,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
24,Pa,Pandaren,熊貓人,熊貓人,熊貓人,熊貓人,熊貓人,,熊貓人,,熊貓人天性好奇，除了追求性靈的成長之外，他們也熱愛美食、美酒與冒險。,熊貓人,,熊貓人,,6543380,2395,259,15007,1096,2,0,0,10,623716,574549,0,651561,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7,-1,-1,-1,-1
25,Pa,Pandaren,熊貓人,熊貓人,熊貓人,熊貓人,土水,,土水,,熊貓人天性好奇，除了追求性靈的成長之外，他們也熱愛美食、美酒與冒險。,熊貓人,,熊貓人,,211460,2401,259,15007,1096,0,26,0,10,623712,574549,24,651555,0,0,0,0,0,0,0,1,0,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
26,Pa,Pandaren,熊貓人,熊貓人,熊貓人,熊貓人,火金,,火金,,熊貓人天性好奇，除了追求性靈的成長之外，他們也熱愛美食、美酒與冒險。,熊貓人,,熊貓人,,211460,2402,259,15007,1096,1,25,0,10,623714,574549,24,651558,0,0,0,0,0,0,0,1,0,24,24,24,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,1
27,Nb,Nightborne,夜裔精靈,夜裔精靈,夜裔,夜裔,夏多雷,,夏多雷,,蘇拉瑪爾的夜裔精靈與世隔絕萬年之久，並且發展出無與倫比的魔法技藝。,精靈,,精靈,,11010052,1610,0,15007,1096,1,29,0,8,623714,1662240,0,651558,0,0,0,0,0,0,12413,10,1,4,4,4,4,26,0,0,0,0,0,0,0,0,0.087,0,0,0.087,0,0,1,7,0,1,0,1
28,Ht,HighmountainTauren,高嶺牛頭人,高嶺牛頭人,牛頭人,牛頭人,牛頭人,,牛頭人,,高嶺牛頭人崇敬大地、河流和天空的神靈，他們體現了高尚的心性與強健的力量。,牛頭人,,牛頭人,,8912902,6,0,15007,1096,1,30,0,3,623714,1662239,0,651558,0,0,0,0,0,0,12415,10,2,6,6,6,6,27,0,0,0,0,0,0,0,0,0.085,0,0,0.085,0,0,1,7,0,1,0,1
29,Ve,VoidElf,虛無精靈,虛無精靈,虛無精靈,虛無精靈,刃多雷,,刃多雷,,虛無精靈受到禁忌的魔法轉化，遭到同胞流放，如今則為聯盟而戰。,精靈,,精靈,,9961484,4,0,15007,1096,0,27,0,8,623712,1662242,0,651555,0,0,0,0,0,0,12291,10,1,10,10,10,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
30,Ld,LightforgedDraenei,光鑄德萊尼,光鑄德萊尼,德萊尼,德萊尼,光鑄德萊尼,,光鑄德萊尼,,光鑄德萊尼獲得聖光的洗禮，成為英勇對抗邪惡的尖兵。,德萊尼,,德萊尼,,8912910,1629,0,15007,1096,0,28,0,2,623712,1662241,0,651555,0,0,0,0,0,0,12414,10,2,11,11,11,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
31,Za,ZandalariTroll,贊達拉食人妖,贊達拉食人妖,贊達拉食人妖,贊達拉食人妖,贊達拉食人妖,,贊達拉食人妖,,贊達拉食人妖崇拜神秘的羅亞，並且擁有艾澤拉斯數一數二的強大海軍艦隊。,食人妖,,食人妖,,15204358,116,0,15007,1096,1,32,0,7,623714,2743642,0,651558,0,0,0,0,0,0,13503,10,4,0,8,0,8,30,8,0,0,0,0,0,0,0,0.08,0,0,0.08,0,0,1,7,-1,1,-1,1
32,Kt,KulTiran,庫爾提拉斯人,庫爾提拉斯人,庫爾提拉斯人,庫爾提拉斯人,庫爾提拉斯人,,庫爾提拉斯人,,自豪的庫爾提拉斯在孤立多年後，終於又再度加入聯盟，提供強大的海上戰力。,人類,,人類,,15204364,1,0,15007,1096,0,31,0,1,623712,2575493,0,651555,0,0,0,0,0,0,13504,10,4,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
33,Th,ThinHuman,人類,人類,人類,人類,,,,,Kul Tiras was founded by fearless explorers who sailed uncharted waters in search of adventure. <PH>,,,,,525,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,-1,0,-1
34,Di,DarkIronDwarf,黑鐵矮人,黑鐵矮人,矮人,矮人,黑鐵矮人,,黑鐵矮人,,黑鐵矮人以脾氣火爆、意志剛強不屈而聞名，現在重回其它矮人氏族身旁並肩作戰。,矮人,,矮人,,8912908,3,0,15007,1090,0,36,0,1,623712,2005930,0,651555,0,0,0,0,0,0,13076,10,3,3,3,3,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
35,Vu,Vulpera,狐狸人,狐狸人,狐狸人,狐狸人,狐狸人,,狐狸人,,狐狸人機敏聰慧、足智多謀，具有在嚴酷環境中求取生路的本領。,狐狸人,,狐狸人,,15204358,2204,0,15007,1096,1,37,0,4,623714,3188841,0,651558,0,0,0,0,0,0,14002,10,10,0,0,0,0,12,9,0,0,0,0,0,0,0,0.082,0,0,0.085,0,0,1,7,-1,-1,-1,-1
36,Mo,MagharOrc,瑪格哈獸人,瑪格哈獸人,獸人,獸人,瑪格哈,,瑪格哈,,來自德拉諾不同氏族的未腐化者摒棄過去的成見與敵意，組成了勇武剽悍的瑪格哈獸人。,獸人,,獸人,,8912908,2,0,15007,1096,1,34,0,1,623714,2005932,0,651558,0,0,0,0,0,0,13077,10,3,2,2,2,2,13,2,0,0,0,0,0,0,0,0.085,0,0,0.07,0,0,1,7,0,1,0,1
37,Mg,Mechagnome,機械地精,機械地精,機械地精,機械地精,機械地精,,機械地精,,聰穎的機械地精努力尋找血肉與科技之間的平衡，讓他們成為最有創新精神的盟友。,地精,,地精,,15204364,115,0,15007,1096,0,35,0,1,623712,3188839,0,651555,0,0,0,0,0,0,14014,10,0,7,7,7,7,14,0,896,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
52,Dt,Dracthyr,半龍人,,半龍人,,半龍人,,半龍人,,半龍人被注了各個巨龍軍團的魔法，兼具凡人足智多謀以及龍族的強大特性。,龍類,,龍類,,234881028,1,0,15007,1096,0,70,75,13,623712,4620425,0,651555,0,0,0,155552,155552,155552,0,10,0,0,0,0,0,16,0,0,0,-1.7,1.9,-0.15,0,0,2.085,0,0,2.085,0,0,7,7,-1,-1,-1,-1
70,Dt,Dracthyr,半龍人,,半龍人,,半龍人,,半龍人,,半龍人被注了各個巨龍軍團的魔法，兼具凡人足智多謀以及龍族的強大特性。,龍類,,龍類,,234881028,2,0,15007,1096,1,52,76,13,623714,4620425,0,651558,0,0,0,155552,155552,155552,0,10,0,0,0,0,0,15,0,0,0,-1.3,2.1,-0.01,0,0,2.085,0,0,2.085,0,0,1,7,-1,-1,-1,-1
71,Cd,CompanionDrake,高地飛龍,,高地飛龍,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,-1,0,-1
72,Cp,CompanionProtoDragon,再生元龍,,再生元龍,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,-1,0,-1
73,Cs,CompanionSerpent,盤旋滑龍,,盤旋滑龍,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,-1,0,-1
74,Cw,CompanionWyvern,峭壁荒野飛龍,,峭壁荒野飛龍,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,-1,0,-1
75,Dt,Dracthyr,人形,,人形,,人形,,人形,,熱衷於蠟燭控制技藝的神秘族群。,人形,,人形,,103,1,0,15007,1096,0,0,0,0,623712,131948,0,651555,0,0,0,155553,155553,155553,0,1,0,10,1,10,1,-1,0,0,23,0,0,0,0.2,0,0,0,0,0,0,0,7,7,0,1,0,1
76,Dt,Dracthyr,人形,,人形,,人形,,人形,,熱衷於蠟燭控制技藝的神秘族群。,人形,,人形,,103,1,0,15007,1096,1,0,0,0,623714,132003,0,651558,0,0,0,155553,155553,155553,0,1,0,10,1,10,1,-1,0,0,23,0,0,0,0.2,0,0,0,0,0,0,0,1,7,0,1,0,1
77,Ct,CompanionPterrodax,烈風迅疾龍,,烈風迅疾龍,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,-1,0,-1
80,Cn,CompanionNetherwingDrake,岩洞虛空之翼龍,,岩洞虛空之翼龍,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,-1,-1,-1,-1
82,Sg,RostrumStormGryphon,阿爾加風暴飛騎,,阿爾加風暴飛騎,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,-1,-1,-1,-1
83,Fd,RostrumFaerieDragon,繁茂奇行飛龍,,繁茂奇行飛龍,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,-1,-1,-1,-1
84,Ed,EarthenDwarf,土靈,土靈,土靈,土靈,土靈,,土靈,,新來的土靈剛擺脫束縛他們已久的命令，滿懷無限的好奇心加入部落，探索世界。,土靈,,土靈,,8912908,2,0,15007,1090,1,85,0,1,623714,5797525,0,651558,0,0,0,0,0,0,0,10,3,3,3,3,3,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,1
85,Ed,EarthenDwarf,土靈,土靈,土靈,土靈,土靈,,土靈,,新來的土靈剛擺脫束縛他們已久的命令，滿懷無限的好奇心加入聯盟，探索世界。,土靈,,土靈,,8912908,3,0,15007,1090,0,84,0,1,623712,5797525,0,651555,0,0,0,0,0,0,0,10,3,84,84,84,84,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,1
86,Hr,Harronir,哈拉尼爾,哈拉尼爾,哈拉尼爾,哈拉尼爾,哈拉尼爾,,哈拉尼爾,,,哈拉尼爾,,哈拉尼爾,,517,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,-1,0,-1
87,As,RostrumAirship,探究者飛船,,探究者飛船,,,,,,,,,,,25190913,1,0,15007,1096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,-1,-1,-1,-1
