ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,Field_12_0_0_63534_016,QuestID,PlayerConditionID
37,,可向名望軍需官購買暗夜妖精爐石玩具。,解鎖暗夜妖精爐石,3,11,0,0,1,180290,0,0,0,0,0,0,0,1,0,0
39,暗夜妖精戰役：佐司特的惡意,你可以開始進行暗夜妖精戰役的下一個章節。完成此章節可讓你和狩獵隊長克芮恩成為靈魂之絆。,解鎖新的戰役任務,3,22,1500884,1,0,0,0,0,0,0,0,0,0,0,64508,0
40,,可向名望軍需官領養樹蒂。,解鎖寵物夥伴,3,27,0,0,1,182663,0,0,0,0,0,0,0,1,0,0
41,靈魂之絆升級：妮亞,解鎖妮亞第6排的靈魂之絆特長。,解鎖妮亞的靈魂之絆特長,3,18,3684884,2,0,0,0,0,0,0,0,0,0,0,64508,0
42,,你可以和看守者鐘花交談以招募這位冒險者。,解鎖新的冒險者,3,27,0,0,0,0,0,0,0,0,0,1286,0,8,64508,0
43,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,3,16,0,0,1,0,0,0,0,2086,0,0,0,5,64508,0
44,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,3,26,0,0,0,0,0,0,0,2087,0,0,0,5,64508,0
45,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,3,32,0,0,1,0,0,0,0,2089,0,0,0,5,64508,0
48,靈魂之絆升級：織夢者,解鎖織夢者第6排的靈魂之絆特長。,解鎖織夢者的靈魂之絆特長,3,21,3684882,2,0,0,0,0,0,0,0,0,0,0,64508,0
50,世界任務獎勵,提高世界任務獎勵的物品等級。,提高世界任務物品等級上限,3,19,236668,0,1,0,0,0,0,0,0,0,0,0,63221,88687
51,靈魂之絆升級：妮亞,解鎖妮亞第7排的靈魂之絆特長。,解鎖妮亞的靈魂之絆特長,3,25,3684884,2,0,0,0,0,0,0,0,0,0,0,64508,0
52,靈魂之絆升級：織夢者,解鎖織夢者第7排的靈魂之絆特長。,解鎖織夢者的靈魂之絆特長,3,29,3684882,2,0,0,0,0,0,0,0,0,0,0,64508,0
53,,你可以和看守者鐘花交談以招募她。,解鎖新的冒險者,3,33,0,0,0,0,0,0,0,0,0,1287,0,8,64508,0
55,靈魂之絆升級：克芮恩,解鎖克芮恩第7排的靈魂之絆特長。,解鎖克芮恩的靈魂之絆特長,3,28,3684885,2,0,0,0,0,0,0,0,0,0,0,64508,0
59,,你可以和看守者鐘花交談以招募這位冒險者。,解鎖新的冒險者,3,38,0,0,0,0,0,0,0,0,0,1288,0,8,64508,0
62,,,解鎖坐騎,3,39,0,0,0,0,0,1357,0,0,0,0,0,3,62415,0
63,,,解鎖頭銜,3,40,3641394,1,0,0,0,0,0,0,681,0,0,7,64508,0
64,,,解鎖新的外觀,3,34,0,0,0,0,0,0,113566,0,0,0,0,4,0,0
67,,你可以和闊洛斯交談以招募這位冒險者。,解鎖新的冒險者,1,4,0,0,0,0,0,0,0,0,0,1270,0,8,0,85540
68,,你可以和闊洛斯交談以招募這位冒險者。,解鎖新的冒險者,1,4,0,0,0,0,0,0,0,0,0,1271,0,8,0,85541
69,靈魂之絆升級：佩拉苟斯,解鎖佩拉苟斯第3排的靈魂之絆特長。,解鎖佩拉苟斯的靈魂之絆特長,1,3,3684898,2,0,0,0,0,0,0,0,0,0,0,64508,0
75,世界任務獎勵,提高世界任務獎勵的物品等級。,提高世界任務物品等級上限,1,10,236668,0,1,0,0,0,0,0,0,0,0,0,63220,88686
78,世界任務獎勵,提高世界任務獎勵的物品等級。,提高世界任務物品等級上限,1,19,236668,0,1,0,0,0,0,0,0,0,0,0,63221,88687
81,靈魂之絆升級：佩拉苟斯,解鎖佩拉苟斯第4排的靈魂之絆特長。,解鎖佩拉苟斯的靈魂之絆特長,1,7,3684898,2,0,0,0,0,0,0,0,0,0,0,64508,0
82,靈魂之絆升級：佩拉苟斯,解鎖佩拉苟斯第5排的靈魂之絆特長。,解鎖佩拉苟斯的靈魂之絆特長,1,10,3684898,2,0,0,0,0,0,0,0,0,0,0,64508,0
83,靈魂之絆升級：佩拉苟斯,解鎖佩拉苟斯第6排的靈魂之絆特長。,解鎖佩拉苟斯的靈魂之絆特長,1,21,3684898,2,0,0,0,0,0,0,0,0,0,0,64508,0
84,靈魂之絆升級：佩拉苟斯,解鎖佩拉苟斯第7排的靈魂之絆特長。,解鎖佩拉苟斯的靈魂之絆特長,1,25,3684898,2,0,0,0,0,0,0,0,0,0,0,64508,0
85,靈魂之絆升級：克蕾雅,解鎖克蕾雅第4排的靈魂之絆特長。,解鎖克蕾雅的靈魂之絆特長,1,9,3684897,2,0,0,0,0,0,0,0,0,0,0,64508,0
86,靈魂之絆升級：克蕾雅,解鎖克蕾雅第5排的靈魂之絆特長。,解鎖克蕾雅的靈魂之絆特長,1,13,3684897,2,1,0,0,0,0,0,0,0,0,0,0,0
87,靈魂之絆升級：克蕾雅,解鎖克蕾雅第6排的靈魂之絆特長。,解鎖克蕾雅的靈魂之絆特長,1,18,3684897,2,0,0,0,0,0,0,0,0,0,0,64508,0
88,靈魂之絆升級：克蕾雅,解鎖克蕾雅第7排的靈魂之絆特長。,解鎖克蕾雅的靈魂之絆特長,1,28,3684897,2,0,0,0,0,0,0,0,0,0,0,64508,0
90,靈魂之絆升級：米卡尼寇斯,解鎖米卡尼寇斯第7排的靈魂之絆特長。,解鎖米卡尼寇斯的靈魂之絆特長,1,29,3684894,2,0,0,0,0,0,0,0,0,0,0,64508,0
91,,你可以和闊洛斯交談以招募這位冒險者。,解鎖新的冒險者,1,12,0,0,0,0,0,0,0,0,0,1272,0,8,64508,0
92,,你可以和闊洛斯交談以招募這位冒險者。,解鎖新的冒險者,1,17,0,0,1,0,0,0,0,0,0,1273,0,8,0,0
93,,你可以和闊洛斯交談以招募這位冒險者。,解鎖新的冒險者,1,27,0,0,0,0,0,0,0,0,0,1276,0,8,64508,0
94,,你可以和闊洛斯交談以招募這位冒險者。,解鎖新的冒險者,1,33,0,0,0,0,0,0,0,0,0,1275,0,8,64508,0
95,,你可以和闊洛斯交談以招募這位冒險者。,解鎖新的冒險者,1,38,0,0,0,0,0,0,0,0,0,1274,0,8,64508,0
100,,這段取回的記憶將開放從名望軍需官購買。,解鎖新的取回的記憶,1,14,0,0,0,183249,0,0,0,0,0,0,0,1,64508,0
103,,可向名望軍需官領養小皺。,解鎖寵物夥伴,1,27,0,0,1,184350,0,0,0,0,0,0,0,1,0,0
104,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,1,16,0,0,1,0,0,0,0,2124,0,0,0,5,64508,0
105,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,1,26,0,0,0,0,0,0,0,2125,0,0,0,5,64508,0
106,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,1,32,0,0,1,0,0,0,0,2126,0,0,0,5,64508,0
108,,,解鎖新的外觀,1,34,0,0,0,0,0,0,113552,0,0,0,0,4,0,0
109,,,解鎖坐騎,1,39,0,0,0,0,0,1399,0,0,0,0,0,3,62927,0
110,,,解鎖頭銜,1,40,3641395,1,0,0,0,0,0,0,678,0,0,7,64508,0
112,,,解鎖新的外觀,1,6,0,0,0,0,0,0,113546,0,0,0,0,4,64508,0
113,,可向名望軍需官購買琪瑞安爐石玩具。,解鎖琪瑞安爐石,1,11,0,0,1,184353,0,0,0,0,0,0,0,1,0,0
114,,可向名望軍需官購買幻象：卓越之魂。,解鎖幻象：卓越之魂,1,36,0,0,0,0,0,0,0,0,0,0,66,6,64508,0
117,靈魂之絆升級：娜迪亞,解鎖娜迪亞第3排的靈魂之絆特長。,解鎖娜迪亞的靈魂之絆特長,2,3,3485243,2,0,0,0,0,0,0,0,0,0,0,64508,0
118,靈魂之絆升級：娜迪亞,解鎖娜迪亞第4排的靈魂之絆特長。,解鎖娜迪亞的靈魂之絆特長,2,7,3485243,2,0,0,0,0,0,0,0,0,0,0,64508,0
119,靈魂之絆升級：娜迪亞,解鎖娜迪亞第5排的靈魂之絆特長。,解鎖娜迪亞的靈魂之絆特長,2,10,3485243,2,0,0,0,0,0,0,0,0,0,0,64508,0
120,靈魂之絆升級：娜迪亞,解鎖娜迪亞第6排的靈魂之絆特長。,解鎖娜迪亞的靈魂之絆特長,2,21,3485243,2,0,0,0,0,0,0,0,0,0,0,64508,0
121,靈魂之絆升級：娜迪亞,解鎖娜迪亞第7排的靈魂之絆特長。,解鎖娜迪亞的靈魂之絆特長,2,25,3485243,2,0,0,0,0,0,0,0,0,0,0,64508,0
123,靈魂之絆升級：希奧塔,解鎖希奧塔第4排的靈魂之絆特長。,解鎖希奧塔的靈魂之絆特長,2,9,3485244,2,0,0,0,0,0,0,0,0,0,0,64508,0
124,靈魂之絆升級：希奧塔,解鎖希奧塔第5排的靈魂之絆特長。,解鎖希奧塔的靈魂之絆特長,2,13,3485244,2,1,0,0,0,0,0,0,0,0,0,0,0
125,靈魂之絆升級：希奧塔,解鎖希奧塔第6排的靈魂之絆特長。,解鎖希奧塔的靈魂之絆特長,2,18,3485244,2,0,0,0,0,0,0,0,0,0,0,64508,0
126,靈魂之絆升級：希奧塔,解鎖希奧塔第7排的靈魂之絆特長。,解鎖希奧塔的靈魂之絆特長,2,28,3485244,2,0,0,0,0,0,0,0,0,0,0,64508,0
128,靈魂之絆升級：德瑞文,解鎖德瑞文將軍第7排的靈魂之絆特長。,解鎖德瑞文的靈魂之絆特長,2,29,3485245,2,0,0,0,0,0,0,0,0,0,0,64508,0
129,,你可以和謀士莎卡交談以招募這位冒險者。,解鎖新的冒險者,2,4,0,0,0,0,0,0,0,0,0,1250,0,8,64508,0
130,,你可以和謀士莎卡交談以招募這位冒險者。,解鎖新的冒險者,2,12,0,0,0,0,0,0,0,0,0,1251,0,8,64508,0
131,,你可以和謀士莎卡交談以招募這位冒險者。,解鎖新的冒險者,2,17,0,0,1,0,0,0,0,0,0,1252,0,8,0,0
132,,你可以和謀士莎卡交談以招募這位冒險者。,解鎖新的冒險者,2,27,0,0,0,0,0,0,0,0,0,1254,0,8,64508,0
133,,你可以和謀士莎卡交談以招募這位冒險者。,解鎖新的冒險者,2,33,0,0,0,0,0,0,0,0,0,1255,0,8,64508,0
134,,你可以和謀士莎卡交談以招募這位冒險者。,解鎖新的冒險者,2,38,0,0,0,0,0,0,0,0,0,1253,0,8,64508,0
139,世界任務獎勵,提高世界任務獎勵的物品等級。,提高世界任務物品等級上限,2,10,236668,0,1,0,0,0,0,0,0,0,0,0,63220,88686
142,世界任務獎勵,提高世界任務獎勵的物品等級。,提高世界任務物品等級上限,2,19,236668,0,1,0,0,0,0,0,0,0,0,0,63221,88687
149,,這段取回的記憶將開放從名望軍需官購買。,解鎖新的取回的記憶,2,14,0,0,0,183249,0,0,0,0,0,0,0,1,64508,0
152,,此外觀將開放購買。,解鎖新的外觀,2,6,0,0,0,0,0,0,114934,0,0,0,0,4,64508,0
153,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,2,16,0,0,1,0,0,0,0,2099,0,0,0,5,64508,0
154,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,2,26,0,0,0,0,0,0,0,2100,0,0,0,5,64508,0
155,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,2,32,0,0,1,0,0,0,0,2101,0,0,0,5,64508,0
156,,,解鎖新的外觀,2,34,0,0,0,0,0,0,114927,0,0,0,0,4,0,0
158,,,解鎖坐騎,2,39,0,0,0,0,0,1388,0,0,0,0,0,3,62925,0
159,,,解鎖頭銜,2,40,3641397,1,0,0,0,0,0,0,682,0,0,7,0,88267
160,,,解鎖頭銜,2,40,3641397,1,0,0,0,0,0,0,683,0,0,7,64508,88266
161,,可向名望軍需官領養罪心。,解鎖寵物夥伴,2,27,0,0,1,181555,0,0,0,0,0,0,0,1,0,0
162,,可向名望軍需官購買幻象：罪怒。,解鎖幻象：罪怒,2,36,0,0,0,0,0,0,0,0,0,0,67,6,64508,0
163,,可向名望軍需官購買汎希爾罪孽石玩具。,解鎖汎希爾罪孽石,2,11,0,0,1,183716,0,0,0,0,0,0,0,1,0,0
166,靈魂之絆升級：瑪利雷斯,解鎖瘟疫設計者瑪利雷斯第3排的靈魂之絆特長。,解鎖瑪利雷斯的靈魂之絆特長,4,3,3684879,2,0,0,0,0,0,0,0,0,0,0,64508,0
167,靈魂之絆升級：瑪利雷斯,解鎖瘟疫設計者瑪利雷斯第4排的靈魂之絆特長。,解鎖瑪利雷斯的靈魂之絆特長,4,9,3684879,2,0,0,0,0,0,0,0,0,0,0,64508,0
168,靈魂之絆升級：瑪利雷斯,解鎖瘟疫設計者瑪利雷斯第5排的靈魂之絆特長。,解鎖瑪利雷斯的靈魂之絆特長,4,10,3684879,2,0,0,0,0,0,0,0,0,0,0,64508,0
169,靈魂之絆升級：瑪利雷斯,解鎖瘟疫設計者瑪利雷斯第6排的靈魂之絆特長。,解鎖瑪利雷斯的靈魂之絆特長,4,21,3684879,2,0,0,0,0,0,0,0,0,0,0,64508,0
170,靈魂之絆升級：瑪利雷斯,解鎖瘟疫設計者瑪利雷斯第7排的靈魂之絆特長。,解鎖瑪利雷斯的靈魂之絆特長,4,25,3684879,2,0,0,0,0,0,0,0,0,0,0,64508,0
172,靈魂之絆升級：艾曼妮,解鎖艾曼妮公主第4排的靈魂之絆特長。,解鎖艾曼妮的靈魂之絆特長,4,7,3684875,2,0,0,0,0,0,0,0,0,0,0,64508,0
173,靈魂之絆升級：艾曼妮,解鎖艾曼妮公主第5排的靈魂之絆特長。,解鎖艾曼妮的靈魂之絆特長,4,13,3684875,2,1,0,0,0,0,0,0,0,0,0,0,0
174,靈魂之絆升級：艾曼妮,解鎖艾曼妮公主第6排的靈魂之絆特長。,解鎖艾曼妮的靈魂之絆特長,4,18,3684875,2,0,0,0,0,0,0,0,0,0,0,64508,0
175,靈魂之絆升級：艾曼妮,解鎖艾曼妮公主第7排的靈魂之絆特長。,解鎖艾曼妮的靈魂之絆特長,4,28,3684875,2,0,0,0,0,0,0,0,0,0,0,64508,0
177,靈魂之絆升級：黑彌爾,解鎖骸骨工匠黑彌爾第7排的靈魂之絆特長。,解鎖黑彌爾的靈魂之絆特長,4,29,3684892,2,0,0,0,0,0,0,0,0,0,0,64508,0
183,世界任務獎勵,提高世界任務獎勵的物品等級。,提高世界任務物品等級上限,4,10,236668,0,1,0,0,0,0,0,0,0,0,0,63220,88686
186,世界任務獎勵,提高世界任務獎勵的物品等級。,提高世界任務物品等級上限,4,19,236668,0,1,0,0,0,0,0,0,0,0,0,63221,88687
193,,你可以和莫里克‧費德斯嘉交談以招募這位冒險者。,解鎖新的冒險者,4,4,0,0,0,0,0,0,0,0,0,1300,0,8,64508,0
194,,你可以和莫里克‧費德斯嘉交談以招募這位冒險者。,解鎖新的冒險者,4,12,0,0,0,0,0,0,0,0,0,1301,0,8,64508,0
195,,你可以和莫里克‧費德斯嘉交談以招募這位冒險者。,解鎖新的冒險者,4,17,0,0,1,0,0,0,0,0,0,1302,0,8,0,0
196,,你可以和莫里克‧費德斯嘉交談以招募這位冒險者。,解鎖新的冒險者,4,27,0,0,0,0,0,0,0,0,0,1303,0,8,64508,0
197,,你可以和莫里克‧費德斯嘉交談以招募這位冒險者。,解鎖新的冒險者,4,33,0,0,0,0,0,0,0,0,0,1304,0,8,64508,0
198,,你可以和莫里克‧費德斯嘉交談以招募這位冒險者。,解鎖新的冒險者,4,38,0,0,0,0,0,0,0,0,0,1305,0,8,64508,0
199,,這段取回的記憶將開放從名望軍需官購買。,解鎖新的取回的記憶,4,14,0,0,0,183249,0,0,0,0,0,0,0,1,64508,0
202,,,解鎖新的外觀,4,6,0,0,0,0,0,0,113745,0,0,0,0,4,64508,0
203,,,解鎖新的外觀,4,34,0,0,0,0,0,0,113749,0,0,0,0,4,0,0
204,,可向名望軍需官購買幻象：不滅決心。,解鎖幻象：不滅決心,4,36,0,0,0,0,0,0,0,0,0,0,70,6,64508,0
205,,可向名望軍需官購買死靈領主爐石玩具。,解鎖死靈領主爐石,4,11,0,0,1,182773,0,0,0,0,0,0,0,1,0,0
206,,可向名望軍需官領養吉勾。,解鎖寵物夥伴,4,27,0,0,1,183601,0,0,0,0,0,0,0,1,0,0
207,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,4,16,0,0,1,0,0,0,0,2111,0,0,0,5,64508,0
208,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,4,26,0,0,0,0,0,0,0,2112,0,0,0,5,64508,0
209,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,4,32,0,0,1,0,0,0,0,2113,0,0,0,5,64508,0
210,,,解鎖坐騎,4,39,0,0,0,0,0,1369,0,0,0,0,0,3,62926,0
212,,,解鎖頭銜,4,40,3641396,1,0,0,0,0,0,0,679,0,0,7,0,88267
213,,,解鎖頭銜,4,40,3641396,1,0,0,0,0,0,0,680,0,0,7,64508,88266
216,,此坐騎將開放從名望軍需官購買。,解鎖新坐騎,3,23,0,0,0,0,0,1354,0,0,0,0,0,3,64508,0
225,琪瑞安戰役：鐘聲響起,你可以開始進行琪瑞安戰役的下一個章節。完成此章節可讓你和熔爐士米卡尼寇斯成為靈魂之絆。,解鎖新的戰役任務,1,22,1500886,1,0,0,0,0,0,0,0,0,0,0,64508,0
226,死靈領主戰役：襲擊祭儀家族,你可以開始進行死靈領主戰役的下一個章節。完成此章節可讓你和骸骨工匠黑彌爾成為靈魂之絆。,解鎖新的戰役任務,4,22,1500887,1,0,0,0,0,0,0,0,0,0,0,64508,0
227,汎希爾戰役：支配,你可以開始進行汎希爾戰役的下一個章節。完成此章節可讓你和德瑞文將軍成為靈魂之絆。,解鎖新的戰役任務,2,22,1500885,1,0,0,0,0,0,0,0,0,0,0,64508,0
228,,此坐騎將開放從名望軍需官購買。,解鎖新坐騎,1,23,0,0,0,0,0,1398,0,0,0,0,0,3,64508,0
229,,此坐騎將開放從名望軍需官購買。,解鎖新坐騎,4,23,0,0,0,0,0,1365,0,0,0,0,0,3,64508,0
230,,此坐騎將開放從名望軍需官購買。,解鎖新坐騎,2,23,0,0,0,0,0,1384,0,0,0,0,0,3,64508,0
231,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,4,16,0,0,1,0,0,0,0,2114,0,0,0,5,0,0
232,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,4,16,0,0,1,0,0,0,0,2117,0,0,0,5,0,0
233,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,4,16,0,0,1,0,0,0,0,2120,0,0,0,5,0,0
234,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,3,16,0,0,1,0,0,0,0,2090,0,0,0,5,0,0
235,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,3,16,0,0,1,0,0,0,0,2093,0,0,0,5,0,0
236,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,3,16,0,0,1,0,0,0,0,2096,0,0,0,5,0,0
237,,你與暗夜妖精的連結強化了，移動速度提高1%。,提高移動速度,3,2,0,0,0,0,344052,0,0,0,0,0,0,2,62745,0
238,,你與暗夜妖精的連結強化了，移動速度提高1%。,提高移動速度,3,19,0,0,0,0,344053,0,0,0,0,0,0,2,62746,0
239,,你與暗夜妖精的連結強化了，移動速度提高1%。,提高移動速度,3,35,0,0,0,0,344057,0,0,0,0,0,0,2,62747,0
240,,你與死靈領主的連結強化了，移動速度提高1%。,提高移動速度,4,2,0,0,0,0,344076,0,0,0,0,0,0,2,62752,0
241,,你與死靈領主的連結強化了，移動速度提高1%。,提高移動速度,4,19,0,0,0,0,344077,0,0,0,0,0,0,2,62753,0
242,,你與死靈領主的連結強化了，移動速度提高1%。,提高移動速度,4,35,0,0,0,0,344078,0,0,0,0,0,0,2,62754,0
243,,你與汎希爾的連結強化了，移動速度提高1%。,提高移動速度,2,2,0,0,0,0,344068,0,0,0,0,0,0,2,62749,0
244,,你與汎希爾的連結強化了，移動速度提高1%。,提高移動速度,2,19,0,0,0,0,344069,0,0,0,0,0,0,2,62750,0
245,,你與汎希爾的連結強化了，移動速度提高1%。,提高移動速度,2,35,0,0,0,0,344070,0,0,0,0,0,0,2,62751,0
246,,你與琪瑞安的連結強化了，移動速度提高1%。,提高移動速度,1,2,0,0,0,0,344087,0,0,0,0,0,0,2,62755,0
247,,你與琪瑞安的連結強化了，移動速度提高1%。,提高移動速度,1,19,0,0,0,0,344089,0,0,0,0,0,0,2,62756,0
248,,你與琪瑞安的連結強化了，移動速度提高1%。,提高移動速度,1,35,0,0,0,0,344091,0,0,0,0,0,0,2,62757,0
250,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,3,26,0,0,0,0,0,0,0,2091,0,0,0,5,0,0
251,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,3,26,0,0,0,0,0,0,0,2094,0,0,0,5,0,0
252,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,3,26,0,0,0,0,0,0,0,2097,0,0,0,5,0,0
253,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,3,32,0,0,1,0,0,0,0,2092,0,0,0,5,0,0
254,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,3,32,0,0,1,0,0,0,0,2095,0,0,0,5,0,0
255,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,3,32,0,0,1,0,0,0,0,2098,0,0,0,5,0,0
256,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,4,26,0,0,0,0,0,0,0,2115,0,0,0,5,0,0
257,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,4,26,0,0,0,0,0,0,0,2118,0,0,0,5,0,0
258,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,4,26,0,0,0,0,0,0,0,2121,0,0,0,5,0,0
259,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,4,32,0,0,1,0,0,0,0,2116,0,0,0,5,0,0
260,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,4,32,0,0,1,0,0,0,0,2119,0,0,0,5,0,0
261,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,4,32,0,0,1,0,0,0,0,2122,0,0,0,5,0,0
262,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,2,16,0,0,1,0,0,0,0,2102,0,0,0,5,0,0
263,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,2,16,0,0,1,0,0,0,0,2105,0,0,0,5,0,0
264,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,2,16,0,0,1,0,0,0,0,2108,0,0,0,5,0,0
265,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,2,26,0,0,0,0,0,0,0,2103,0,0,0,5,0,0
266,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,2,26,0,0,0,0,0,0,0,2106,0,0,0,5,0,0
267,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,2,26,0,0,0,0,0,0,0,2109,0,0,0,5,0,0
268,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,2,32,0,0,1,0,0,0,0,2104,0,0,0,5,0,0
269,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,2,32,0,0,1,0,0,0,0,2107,0,0,0,5,0,0
270,,可向名望軍需官購買這些外觀：|n- 頭部|n- 肩部|n- 胸部,解鎖新的外觀,2,32,0,0,1,0,0,0,0,2110,0,0,0,5,0,0
271,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,1,16,0,0,1,0,0,0,0,2127,0,0,0,5,0,0
272,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,1,16,0,0,1,0,0,0,0,2130,0,0,0,5,0,0
273,,可向名望軍需官購買這些外觀：|n- 手腕|n- 手|n- 腰部,解鎖新的外觀,1,16,0,0,1,0,0,0,0,2133,0,0,0,5,0,0
274,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,1,26,0,0,0,0,0,0,0,2128,0,0,0,5,0,0
275,,可向名望軍需官購買這些外觀：|n- 披風|n- 腿部|n- 腳,解鎖新的外觀,1,26,0,0,0,0,0,0,0,2131,0,0,0,5,0,0
