ID,Text_lang
28,雖然許多白銀之手侍從都期望自己有朝一日能夠成為騎士，但也有許多人認為，能夠為全心全意信仰聖光的人效力，是件光榮的事。
29,白銀之手的多數聖騎士都是騎馬作戰，執盾兵則擅長防禦戰，可形成一道無法突破的鐵壁。
30,白銀之手的騎士花費無論是在戰鬥訓練或每日祈禱中，都秉持著同樣的精神。他們不斷磨練自己的戰技，盡其所能守護弱者與無辜。
31,白銀之手的聖殿騎士不僅在戰場上所向披靡，其言行舉止更講求正義。只有兼備個人的武力與品德，才配擁有勇士之名。
32,牧道會的侍僧大多才正開始踏入精神領域。他們各個都渴望吸收豐富的知識，也熱情地尋求指導和歷練。
33,牧道會的聖使透過豐富的學識精準地引導聖光。他們長年以來，因學問紮實且博學多聞而盛名遠播。
34,牧道會的狂熱者是虔誠的神職人員。他們承受身體的折磨與嚴苛的苦行，包括自我鞭笞，藉以達到精神上的昇華。
35,黑暗狂熱者的秘密黑暗儀式將虔誠的信徒逼到超越崩潰邊緣，只有存活下來的人，才有資格披上暗影的外衣。
36,強盜往往被人當成尋常可見的宵小之輩。但無冕者靠著他們的潛行和脅迫技巧，取得各種情報和財物。
37,迪菲亞兄弟會老練的不法之徒，大膽挑戰腐敗的貴族階級。他們配戴的紅色頭巾，象徵著受壓迫者揮灑的鮮血。
38,「在這裡蓋決鬥場？我想這樣一來，就算他們變成墮落的賭徒，至少戰力不會跟著退化。」- 喬拉齊‧拉文霍德
39,不論是頭腦清醒或是酩酊大醉，血帆海盜在陸戰和海戰上的優秀表現可說別無二致。不用發射砲彈，光是看到他們赤紅的船帆出現在地平線上，就足以讓敵人舉白旗投降。
40,次級元素在元素世界中地位卑微，它們的致勝秘訣就是源源不絕的數量。
41,只有最強大的薩滿才能召喚並操控大型元素，否則大型元素可能會失控，反而攻擊不自量力的薩滿。
42,「無需雙耳便可傾聽腳下大地的心聲，因為大地無需言語便可發聲。」- 喚地者伊瓦
43,「只要能夠驅使敵人腳下的大地，你就能立於不敗之地。」- 地卜師加卡拉
44,精通風元素的薩滿化身為疾風卓越者時，可成為元素的化身，全身上下無不體現暴風之怒。
45,烈火卓越者全身上下注滿烈焰，如同煉獄降臨，將敵人燒成一堆焦骨。
46,流水卓越者超脫肉體，擁抱水元素，驅使海洋浩瀚的淨化之力，擁有深如大海的力量。
47,小鬼在惡魔中的地位低下，主因是他們的耐力出奇地差而被小覷。但當它們成群結隊時，卻能前仆後繼地持續戰鬥，而它們真正的威脅在於怎麼殺也殺不盡。
48,「我不知道它們從何而來。上一秒鐘我還在朝著敵人施放地獄火，下一秒鐘我就發現這些小怪物到處都是，朝四面八方發射魔焰箭。」- 露露貝兒‧菲斯巴恩
49,黑穫侍僧為了追求禁忌的知識，願意付出任何代價，包括彼此的性命。許多新進的侍僧在試驗性的儀式結束後死亡。
50,只有極少數黑穫侍僧能夠升到塑能師的階級，因為很多人都在晉升時被儀式所召喚出來黑暗能量吞噬。
51,「被我們俘虜的維酷囚犯用一種古怪又悲傷的眼神，看著他們死去的同伴。他們彷彿相當羨慕死者。」-瓦里安‧烏瑞恩國王
52,華爾拉亞要是能在死後立功，就會獲得由金屬打造的身體，並披上從天而降的閃電。
53,女盾侍的性情和戰鬥風格就是直來直往，勇往直前地在戰場上衝鋒陷陣，好讓自己的名字永遠留在歐丁的英靈殿中。
54,華爾琪拉選擇最強大的女盾侍為泰坦看守者埃伊爾效力。如果她英勇赴死，華爾琪拉女盾侍就能獲選成為傳說中的華爾琪。
55,怒兆的回音給人不屈不撓的信念，即使面對再強大的敵人，也不會退縮。
56,赤吉的回音以優美的旋律恢復盟友的精神，使他們煥發活力，不再迷惘。
57,雪怒的回音體現白虎天尊的兇猛與靈巧，在戰場上造成難以想像的傷害。
58,守護者擅於喚引從遠古時代就存在的衝突力量，帶出自然界殘忍的一面，並將所有生物的生死循環連結在一起。
59,天尊的強大影響賦予他們選定的盟友強大的體力、恢復力和爆發力。
61,憎惡體由許多不同的屍體縫補而成，擁有龐大、結實、的不死身軀。他們裝備斬斧和長鉤，隨時準備將敵人撕成兩半。
64,霜劫者乘著恐怖坐騎從天而降，以威猛之勢摧毀敵人。任何與霜劫者為敵的人，都必須學會恐懼頭頂的天空。
65,這些惡魔女祭司在戰場上顯得高大無比，以六隻手臂揮舞刀刃，斬殺敵軍。面對這樣的對手，千萬別想正面迎擊。
66,幻夢之林的看守者從小受到嚴格的訓練。離家之後，他們與林地建立的連結強烈到如果林地受到任何危害，他們都會感受切身之痛。
67,夜裔精靈中，走上獵人這條路的人數稀少。他們擅長從陰影處發動攻擊，甚至利用幽暗地道本身的路徑進行攻擊，在敵人來得及反應之前消失無蹤。
68,這批受到嚴格訓練的守護者，發誓要保衛祈倫托。他們在任何戰場上都能大顯神威，以精準的協調攻勢擊潰敵方陣線。
69,大多數的武僧都選擇專精於其中一位聖獸天尊的教誨。冰心大師則不然，他們認為更平衡的修行才能讓他們更接近開悟的境界。
70,白銀之手十字軍只會被派往最殘酷的戰場。遇到無法突破的防線時，十字軍就是唯一的選擇。
71,如果看到神秘的牧師朝你走來，你最好掉頭就走。或是掉頭就跑。
72,拉文霍德的私人保鑣。只有「特殊」場合才會從莊園派出。
73,陶土議會雖然仍在努力從死亡之翼造成的破壞中修復世界，但也響應了破碎群島的號召。燃燒軍團造成的威脅太過龐大，需要所有陣營同心協力。
74,以毀滅為樂的巨大怪物。許多人都認為它們沒有思考能力。但其實就惡魔來說，它們已經算相當聰明的了。
75,只有最精銳、戰場經驗豐富的士兵才能擔當突擊隊。
76,光鑄軍團在沒有機會打贏的戰爭中依然堅定不移。他們沐浴在聖光中、以神聖的火焰為武器，能在大批惡魔士兵中輕而易舉地殺出血路。
77,克庫一直以來在阿古斯的煉獄中對抗滅絕的危機。他們被迫成為了頂尖的生存專家。
78,在埃雷達斯的破碎者雖然躲過了惡魔，卻還是逃不過虛無。有些受到虛無影響的克庫已經恢復神智，但他們和虛無的連結太過緊密，無法斷絕。
79,恐怖圖騰氏族戰士是這支強大牛頭人部族中有名且最具侵略性的存在。他們最著名的就是邪惡和從不挑釁，直接攻擊敵人。有了這些瘋狂的士兵，瑪加薩會是一股強大的勢力。
80,恐怖圖騰戰士為了捍衛牛頭人而戰。對恐怖圖騰來說，只要不是牛頭人就幾乎全是敵人。然而，只要瑪加薩還待在大漩渦，恐怖圖騰就會繼續協助陶土議會。
181,簽約召募而來的精兵部隊。
182,石投真的很喜歡投擲他的罪孽石。敵人受到他先前罪行的重壓，糊爛的血肉和碎裂的骨頭使他發出咯咯的歡笑。
