ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
52,"生產一份用來附魔的水晶。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",時光水晶,44,2,18,1,16091,16092,22545,0,0,0,14,21,1,59
53,"生產一份發條零件。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",發條零件,47,2,19,7,16091,16092,22545,0,0,0,14,21,1,60
54,"生產一份戰爭顏料。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",戰爭顏料,45,2,20,1,16091,16092,22545,0,0,0,14,21,1,61
55,"利用收集到的德拉諾種子生產一份草藥。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",草藥園貨物,54,2,2,1,16091,16092,16093,0,0,0,14,21,1,80
56,"利用採礦得到的德拉諾之石生產一份礦石。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",礦場貨物,54,2,1,1,16091,16092,16093,0,0,0,14,21,1,79
57,"生產一份鍊金催化劑。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",鍊金催化劑,43,2,16,1,19959,19958,22544,0,0,0,14,21,0,31
58,"生產一份真鋼錠。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",真鋼錠,42,2,17,1,19959,19958,22544,0,0,0,14,21,0,49
59,"生產一份用來附魔的水晶。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",時光水晶,44,2,18,1,19959,19958,22544,0,0,0,14,21,0,52
60,"生產一份發條零件。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",發條零件,47,2,19,1,19959,19958,22544,0,0,0,14,21,0,53
61,"生產一份戰爭顏料。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",戰爭顏料,45,2,20,1,19959,19958,22544,0,0,0,14,21,0,54
62,"生產一份塔岩水晶。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",塔岩水晶,46,2,21,1,19959,19958,22544,0,0,0,14,21,0,51
63,"生產一份光潔皮革。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",光潔皮革,49,2,22,1,19959,19958,22544,0,0,0,14,21,0,50
64,"生產一份咒織布。

你可以在要塞報告裡檢視產品進度。

當建築物升到第2級或以上時，你可以利用建築繪圖桌指派追隨者到建築物中，提高產量。",咒織布,52,2,23,1,19959,19958,22544,0,0,0,14,21,0,37
65,"把敵人的殘骸放到骸骨祭壇上，就能獲得充滿金銀財寶和強力物品的貢品。

你可以在要塞報告裡檢視貢品的進度。",征服者貢品,54,2,25,1,2614,15449,22474,0,0,0,14,21,-1,0
66,"使用交易技能的原料交易要塞資源。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",要塞資源,54,2,6,1,16091,16092,16093,0,0,0,14,21,1,70
70,"使用交易技能的原料交易要塞資源。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",要塞資源,54,2,6,1,19959,19958,22544,0,0,0,14,21,0,66
74,"生產一輛能量超載的石毀車。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",能量超載的石毀車,159,2,26,1,24673,24673,24673,0,0,0,1,2,0,75
75,"生產一輛能量超載的攻城機具。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",能量超載的攻城機具,90,2,26,1,24672,24672,24672,0,0,0,1,2,1,74
77,"使用要塞資源交易追隨者的升級物品和護甲碎塊。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",,18,2,10,1,19959,19958,22544,0,0,0,14,21,0,78
78,"使用要塞資源交易追隨者的升級物品和護甲碎塊。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",,16,2,10,1,16091,16092,22545,0,0,0,14,21,1,77
79,"利用採礦得到的德拉諾之石生產一份礦石。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",礦場貨物,54,2,1,1,19959,19958,22544,0,0,0,14,21,0,56
80,"利用收集到的德拉諾種子生產一份草藥。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",草藥園貨物,54,2,2,1,19959,19958,22544,0,0,0,14,21,0,55
100,"使用巨魔甬道石交易頂尖水晶和任務趕工令。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",,149,2,13,1,19959,19958,22544,0,0,0,14,21,0,101
101,"使用巨魔甬道石交易頂尖水晶和任務趕工令。

你可以在要塞報告裡檢視產品進度。

當完成時即可返回要塞領取產品。",,29,2,13,1,16091,16092,22545,0,0,0,14,21,1,100
103,"將高爆炸藥投入水中，摧毀水底下的船艦。

|cFFFFD200建造時間：30分鐘|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t|cffffffff潛水艇|r",,9,2,9,1,10070,10070,10070,10070,44449,0,2,3,1,113
104,"極具威力的潛水船艦，可以用來執行海軍任務。

|cFFFFD200建造時間：2小時|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t|cffffffff航空母艦|r",,9,2,9,1,10309,10309,10309,10309,44449,0,2,3,1,111
105,"裝有大型火砲的強力船艦，可以用來執行海軍任務。

|cFFFFD200建造時間：1小時|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t|cffffffff驅逐艦|r",,9,2,9,1,15165,15165,15165,15165,44449,0,2,3,1,112
106,"用來在海軍任務中載運士兵及取得物資的大型船艦。

|cFFFFD200建造時間：30分鐘|r

|cffb2f0ff反制：|r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t|cffffffff陸上目標|r",,9,2,9,1,26784,26784,26784,26784,44449,0,2,3,-1,0
107,"可在海上發動空中攻擊的戰術船艦，可以用來執行海軍任務。

|cFFFFD200建造時間：2小時|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t|cffffffff戰艦|r",,9,2,9,1,27015,27015,27015,27015,44449,0,2,3,-1,0
109,"用來在海軍任務中載運士兵及取得物資的大型船艦。

|cFFFFD200建造時間：1分鐘|r

|cffb2f0ff反制：|r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t|cffffffff陸上目標|r",,9,2,9,1,26784,26784,26784,26784,44449,0,2,3,-1,0
111,"極具威力的潛水船艦，可以用來執行海軍任務。

|cFFFFD200建造時間：2小時|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t|cffffffff航空母艦|r",,9,2,9,1,27211,27211,27211,27211,44449,0,2,3,0,104
112,"裝有大型火砲的強力船艦，可以用來執行海軍任務。

|cFFFFD200建造時間：1小時|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t|cffffffff驅逐艦|r",,9,2,9,1,10322,10322,10322,10322,44449,0,2,3,0,105
113,"將高爆炸藥投入水中，摧毀水底下的船艦。

|cFFFFD200建造時間：30分鐘|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t|cffffffff潛水艇|r",,9,2,9,1,10941,10941,10941,10941,44449,0,2,3,0,103
114,"將高爆炸藥投入水中，摧毀水底下的船艦。

|cFFFFD200建造時間：1分鐘|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t|cffffffff潛水艇|r",,9,2,9,1,10070,10070,10070,10070,44449,0,2,3,1,115
115,"將高爆炸藥投入水中，摧毀水底下的船艦。

|cFFFFD200建造時間：1分鐘|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t|cffffffff潛水艇|r",,9,2,9,1,10941,10941,10941,10941,44449,0,2,3,0,114
119,"將高爆炸藥投入水中，摧毀水底下的船艦。

|cFFFFD200建造時間：1分鐘|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t|cffffffff潛水艇|r",,9,2,9,1,10070,10070,10070,10070,44449,0,2,3,1,121
121,"將高爆炸藥投入水中，摧毀水底下的船艦。

|cFFFFD200建造時間：1分鐘|r

|cffb2f0ff反制：|r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t|cffffffff潛水艇|r",,9,2,9,1,10941,10941,10941,10941,44449,0,2,3,0,119
122,糯米會幫你研究新的食譜。,廚房試吃結果,51,3,0,24,12572,12573,12573,0,0,0,20,21,-1,0
124,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,0,3,0,4,11843,11843,11843,11843,61015,0,4,4,-1,0
125,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,0,3,0,3,11843,11843,11843,11843,61015,0,2,3,-1,0
126,"徵調一隊紅鶴學徒，可支援追隨者進行任務以提高成功率。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,2,11843,11843,11843,0,0,0,2,3,-1,0
128,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,3,35397,35397,35397,35397,61015,0,3,3,-1,0
129,召來一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,35397,35397,35397,35397,61015,0,4,4,-1,0
130,"徵調一隊惡魔守衛在任務中為你效命。

|cFFFFD200所需時間：1小時|r",惡魔守衛,9,3,0,1,8618,8618,8618,0,0,0,1,1,-1,0
131,召來一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,35172,35172,35172,35172,61015,0,4,4,-1,0
132,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊完成,9,3,0,3,35172,35172,35172,35172,61015,0,3,3,-1,0
133,"徵調一隊單位任務中為你效命。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,1,35172,35172,35172,0,0,0,2,3,-1,0
134,復活一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,8225,8225,8225,8225,61015,0,4,4,-1,0
135,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,3,8225,8225,8225,8225,61015,0,3,3,-1,0
136,"徵調一個部隊，可支援勇士進行任務以提高成功率。
|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,1,8225,8225,8225,0,0,0,2,3,-1,0
137,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,26916,26916,26916,26916,61015,0,4,4,-1,0
138,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,3,26916,26916,26916,26916,61015,0,3,3,-1,0
139,"徵調一個部隊，可支援勇士進行任務以提高成功率。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,1,26916,26916,26916,0,0,0,2,3,-1,0
140,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,35171,35171,35171,35171,61015,0,4,4,-1,0
141,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,3,35171,35171,35171,35171,61015,0,3,3,-1,0
142,"徵調一隊林地看守者在任務中為你效命。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,1,35171,35171,35171,0,0,0,2,3,-1,0
143,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,36448,36448,36448,36448,61015,0,4,4,-1,0
144,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,3,36448,36448,36448,36448,61015,0,3,3,-1,0
145,"徵調一隊單位在任務中為你效命。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,1,10721,10721,10721,0,0,0,2,3,-1,0
146,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,35170,35170,35170,35170,61015,0,4,4,-1,0
147,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,3,35170,35170,35170,35170,61015,0,3,3,-1,0
148,"徵調一隊單位在任務中為你效命。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,1,35170,35170,35170,0,0,0,2,3,-1,0
149,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,35174,35174,35174,35174,61015,0,4,4,-1,0
150,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,3,35174,35174,35174,35174,61015,0,3,3,-1,0
151,"徵調一個部隊，可支援勇士進行任務以提高成功率。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,1,35174,35174,35174,0,0,0,2,3,-1,0
152,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,36449,36449,36449,36449,61015,0,4,4,-1,0
153,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,3,36449,36449,36449,36449,61015,0,3,3,-1,0
154,"徵調一個部隊，可支援勇士進行任務以提高成功率。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,1,10721,10721,10721,0,0,0,2,3,-1,0
155,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,0,3,0,3,35398,35398,35398,35398,61015,0,3,3,-1,0
156,召來一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,0,3,0,4,35398,35398,35398,35398,61015,0,4,4,-1,0
157,召來一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,1,35398,35398,35398,35398,61015,0,1,1,-1,0
158,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,4,33176,33176,33176,33176,61015,0,4,4,-1,0
159,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,3,33176,33176,33176,33176,61015,0,3,3,-1,0
160,"徵調一個部隊，可支援勇士進行任務以提高成功率。
|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,1,33176,33176,33176,0,0,0,2,3,-1,0
161,"徵調一隊紅鶴高手，可支援勇士進行任務以提高成功率。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,2,10811,10811,10811,0,0,0,2,3,-1,0
163,"徵調一隊白虎高手，可支援勇士進行任務以提高成功率。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,2,11843,11843,11843,0,0,0,2,3,-1,0
164,召來一個強大的盟友，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,1,35173,35173,35173,35173,61015,0,1,1,-1,0
165,"徵調一隊玄牛高手，可支援勇士進行任務以提高成功率。

|cFFFFD200所需時間：30分鐘|r",部隊完成,9,3,0,4,11843,11843,11843,0,0,0,4,4,-1,0
166,"徵調一群狂野小鬼在任務中為你效命。

|cFFFFD200所需時間：1小時|r",一群狂野小鬼,9,3,0,4,8618,8618,8618,0,0,0,4,4,-1,0
167,"徵調一隊魔化憤怒守衛在任務中為你效命。

|cFFFFD200所需時間：1小時|r",魔化憤怒守衛,9,3,0,1,8618,8618,8618,0,0,0,1,1,-1,0
168,"徵調一群黑穫塑能師在任務中為你效命。

|cFFFFD200所需時間：30分鐘|r",黑穫塑能師,9,3,0,2,8618,8618,8618,0,0,0,2,2,-1,0
171,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,36928,36928,36928,0,0,0,4,2,-1,0
173,開始進行額外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
177,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,26060,26060,26060,0,0,0,1,1,-1,0
178,徵用冰霜巨龍出動。,召喚冰霜巨龍,16,3,0,1,36780,36780,36780,36780,61015,0,1,1,-1,0
179,召喚一個煉獄火並將其封進惡魔骨匣，讓你可以釋放煉獄火，完成一個世界任務。,奴役煉獄火,16,3,0,1,37137,37137,37137,37137,61015,0,1,1,-1,0
180,將組織的力量導入聚焦水晶，讓你可以釋放出達拉然之力，完成一個世界任務。,引導達拉然的力量,16,3,0,1,7631,7631,7631,7631,61015,0,1,1,-1,0
181,開始進行額外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
182,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
183,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
184,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
185,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
186,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
187,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
188,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
189,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
190,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
191,開始進行另外的神兵武器研究。發現的知識可加快獲得神兵之力的速度。,擱置的研究筆記,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
192,開始招募白銀之手先鋒，讓他們去進行世界任務。,集結先鋒,16,3,0,1,37230,37230,37230,37230,61015,0,1,1,-1,0
193,朗誦組織的祈禱詞，祝福你的勇士。提高任務執行成功的機率。,祝福儀式,16,3,0,1,35853,35853,35853,35853,61015,0,1,1,-1,0
194,開始呼喚華爾琪，派出她們去進行世界任務。,呼喚華爾琪,16,3,0,1,33174,33174,33174,33174,61015,0,1,1,-1,0
195,將組織的怒火導入裂隙核心，讓你可以部署裂隙加農砲，完成一個世界任務。,引導組織的怒火。,16,3,0,1,25536,25536,25536,25536,61015,0,1,1,-1,0
196,召來一個強大的盟友，可支援勇士進行任務以提高成功率。,部隊完成,9,3,0,1,35171,35171,35171,35171,61015,0,1,1,-1,0
197,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,36928,36928,36928,35924,61015,0,4,2,-1,0
198,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,31180,31180,31180,31180,61015,0,4,2,-1,0
199,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,36928,36928,36928,36928,61015,0,4,2,-1,0
200,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,7088,7088,7088,7088,61015,0,4,2,-1,0
201,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,37189,37189,37189,37189,61015,0,4,4,-1,0
202,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,37480,37478,37481,37480,61015,0,2,4,-1,0
203,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,30825,30825,30825,30825,61015,0,4,2,-1,0
204,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,36928,36928,36928,36928,61015,0,4,2,-1,0
205,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,36928,36928,36928,36928,61015,0,4,2,-1,0
206,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,30127,30127,30127,30127,61015,0,4,2,-1,0
207,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,37231,37231,37231,37231,61015,0,4,2,-1,0
208,徵調一批勇士武裝及裝備。,部隊完成,16,3,0,4,37234,37234,37234,37234,61015,0,4,2,-1,0
209,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,37191,37191,37191,37191,61015,0,1,1,-1,0
210,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,27369,27369,27369,27369,61015,0,1,1,-1,0
211,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,36278,36278,36278,36278,61015,0,1,1,-1,0
212,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,6964,6964,6964,6964,61015,0,1,1,-1,0
213,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,35501,35501,35501,35501,61015,0,1,1,-1,0
214,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,26060,26060,26060,26060,61015,0,1,1,-1,0
215,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,26060,26060,26060,26060,61015,0,1,1,-1,0
216,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,34442,34442,34442,34442,61015,0,1,1,-1,0
217,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,32320,32320,32320,32320,61015,0,1,1,-1,0
218,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,29891,29891,29891,29891,61015,0,1,1,-1,0
219,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,34219,34219,34219,34219,61015,0,1,1,-1,0
220,下令取得一枚破碎命運徽印。,破碎命運徽印貨物,16,3,0,1,26060,26060,26060,26060,61015,0,1,1,-1,0
223,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊完成,9,3,0,2,35172,35172,35172,35172,61015,0,2,2,-1,0
224,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,33176,33176,33176,33176,61015,0,2,2,-1,0
225,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,8225,8225,8225,8225,61015,0,2,2,-1,0
226,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,26916,26916,26916,26916,61015,0,2,2,-1,0
227,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,35171,35171,35171,35171,61015,0,2,2,-1,0
228,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,36448,36448,36448,36448,61015,0,2,2,-1,0
229,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,11843,11843,11843,11843,61015,0,2,2,-1,0
230,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,35170,35170,35170,35170,61015,0,2,2,-1,0
231,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,35174,35174,35174,35174,61015,0,2,2,-1,0
232,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,36449,36449,36449,36449,61015,0,2,2,-1,0
233,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,35398,35398,35398,35398,61015,0,2,2,-1,0
234,訓練一個部隊，可支援勇士進行任務以提高成功率。,部隊訓練中,9,3,0,2,35397,35397,35397,35397,61015,0,2,2,-1,0
238,需要增援部隊嗎？請下令，我就會從暴風城把能調動的兵運過去。,已部署聯盟部隊。,0,9,0,6,5651,5651,5651,5651,61015,0,6,6,1,239
239,需要增援部隊嗎？請下令，我就會從奧格瑪把能調動的兵運過去。,已部署部落部隊。,0,9,0,6,5652,5652,5652,5652,61015,0,6,6,0,238
